frame,path,teacher_top1_conf,accepted,num_pseudo_boxes_used,buffer_size,update_applied,updates_this_frame,batch_size_used,det_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
248,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00249.jpg,0.294934,0,4,32,1,1,4,10.591608,11.801,0.139598,12.239,661.519,699.862
249,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00250.jpg,0.294491,0,4,32,1,1,4,9.897243,12.951,0.137818,13.046,350.983,389.992
250,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00251.jpg,0.712789,0,4,32,1,1,4,11.776702,11.693,0.752524,12.252,401.943,439.433
251,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00252.jpg,0.741192,0,4,32,1,1,4,9.594225,12.890,0.774112,12.500,757.856,796.097
252,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00253.jpg,0.441297,0,4,32,1,1,4,9.938253,12.884,0.230882,12.041,398.335,434.346
253,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00254.jpg,0.814882,0,4,32,1,1,4,9.684458,12.006,0.393963,14.368,631.276,670.419
254,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00255.jpg,0.730401,0,4,32,1,1,4,9.580617,11.744,0.217784,13.917,601.525,638.234
255,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00256.jpg,0.730003,0,4,32,1,1,4,10.749331,12.144,0.211039,13.770,389.016,427.953
256,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00257.jpg,0.723119,0,4,32,1,1,4,10.395017,11.545,0.235177,13.392,409.976,447.746
257,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00258.jpg,0.783232,0,4,32,1,1,4,11.013288,16.255,0.301739,12.548,788.228,833.033
258,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00259.jpg,0.782885,0,4,32,1,1,4,9.201921,11.904,0.294856,12.592,657.139,694.153
259,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00260.jpg,0.752277,0,4,32,1,1,4,9.778236,12.908,0.228712,11.846,555.309,593.339
260,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00261.jpg,0.751853,0,4,32,1,1,4,10.085504,11.971,0.223709,12.692,514.405,550.450
261,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00262.jpg,0.874943,0,4,32,1,1,4,9.839464,12.247,0.931550,11.927,554.295,589.956
262,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00263.jpg,0.874941,1,4,32,1,1,4,9.447691,11.755,0.930774,12.014,624.262,660.852
263,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00264.jpg,0.865241,1,4,32,1,1,4,11.399823,12.412,0.873388,12.220,540.636,576.600
264,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00265.jpg,0.866153,1,4,32,1,1,4,9.434459,13.332,0.885426,12.037,483.261,521.509
265,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00266.jpg,0.855064,1,4,32,1,1,4,9.856648,12.349,0.886317,11.996,544.080,581.004
266,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00267.jpg,0.870238,1,4,32,1,1,4,8.679163,12.121,0.851535,12.143,482.708,518.284
267,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00268.jpg,0.846457,1,4,32,1,1,4,8.179667,12.599,0.812279,12.585,387.140,425.634
