frame,path,teacher_top1_conf,accepted,num_pseudo_boxes_used,buffer_size,update_applied,updates_this_frame,batch_size_used,det_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
238,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00239.jpg,0.828620,1,4,32,1,1,4,11.012934,13.531,0.900080,12.514,460.301,500.530
239,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00240.jpg,0.752276,0,4,32,1,1,4,10.044359,12.208,0.837248,12.479,532.293,570.046
240,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00241.jpg,0.752370,0,4,32,1,1,4,10.565714,12.443,0.835774,13.061,819.159,858.104
241,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00242.jpg,0.670345,0,4,32,1,1,4,10.463697,13.296,0.747644,12.768,662.791,702.482
242,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00243.jpg,0.670104,0,4,32,1,1,4,9.999685,12.612,0.744327,12.027,539.914,577.618
243,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00244.jpg,0.712569,0,4,32,1,1,4,10.483810,12.867,0.782424,14.545,469.697,510.400
244,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00245.jpg,0.712676,0,4,32,1,1,4,12.615171,14.978,0.778670,12.646,490.241,531.057
245,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00246.jpg,0.499220,0,4,32,1,1,4,10.247328,12.459,0.509894,12.860,349.374,387.514
246,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00247.jpg,0.847565,0,4,32,1,1,4,9.728363,12.757,0.567169,12.899,628.485,667.009
247,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00248.jpg,0.847402,0,4,32,1,1,4,10.069019,12.369,0.556127,12.240,476.766,514.008
248,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00249.jpg,0.294934,0,4,32,1,1,4,10.591608,12.646,0.139598,12.461,656.825,694.911
249,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00250.jpg,0.294491,0,4,32,1,1,4,9.897243,12.749,0.137818,11.910,352.273,388.357
250,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00251.jpg,0.712789,0,4,32,1,1,4,11.776702,11.749,0.752524,13.215,409.159,446.871
251,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00252.jpg,0.741192,0,4,32,1,1,4,9.594225,12.752,0.774112,12.771,765.566,803.937
252,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00253.jpg,0.441297,0,4,32,1,1,4,9.938253,13.175,0.230882,12.074,415.231,453.474
253,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00254.jpg,0.814882,0,4,32,1,1,4,9.684458,13.113,0.393963,11.821,649.755,687.881
254,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00255.jpg,0.730401,0,4,32,1,1,4,9.580617,12.145,0.217784,13.305,620.290,658.399
255,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00256.jpg,0.730003,0,4,32,1,1,4,10.749331,11.990,0.211039,12.629,400.817,437.865
256,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00257.jpg,0.723119,0,4,32,1,1,4,10.395017,13.195,0.235177,12.138,443.761,482.278
257,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00258.jpg,0.783232,0,4,32,1,1,4,11.013288,12.089,0.301739,14.677,813.248,851.111
258,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00259.jpg,0.782885,0,4,32,1,1,4,9.201921,12.640,0.294856,12.289,646.462,685.104
259,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00260.jpg,0.752277,0,4,32,1,1,4,9.778236,12.807,0.228712,11.756,559.755,595.676
260,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00261.jpg,0.751853,0,4,32,1,1,4,10.085504,11.549,0.223709,11.788,518.263,552.536
261,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00262.jpg,0.874943,0,4,32,1,1,4,9.839464,12.043,0.931550,12.042,593.813,630.506
262,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00263.jpg,0.874941,1,4,32,1,1,4,9.447691,13.019,0.930774,13.655,674.149,712.933
263,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00264.jpg,0.865241,1,4,32,1,1,4,11.399823,13.121,0.873388,12.694,569.214,608.727
264,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00265.jpg,0.866153,1,4,32,1,1,4,9.434459,12.197,0.885426,12.515,494.766,531.989
265,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00266.jpg,0.855064,1,4,32,1,1,4,9.856648,12.522,0.886317,12.238,581.105,618.559
266,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00267.jpg,0.870238,1,4,32,1,1,4,8.679163,12.369,0.851535,11.967,485.956,523.559
267,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00268.jpg,0.846457,1,4,32,1,1,4,8.179667,12.238,0.812279,12.616,400.002,437.660
268,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00269.jpg,0.846432,1,4,32,1,1,4,8.410254,12.830,0.810601,13.056,664.191,703.090
269,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00270.jpg,0.859622,1,4,32,1,1,4,7.912456,12.222,0.831722,12.556,572.450,609.976
