dataset,dataset_label,model,model_label,segment_index,start_index,end_index,start_frame,end_frame,length,start_image,end_image,low_conf_count,no_detection_count,weird_count,box_jump_count,high_conf_weird_count,bad_rate,good_rate,mean_top1_conf,fda_mix_bad_count,fda_mix_bad_rate,fda_mix_low_conf_count,fda_mix_weird_count,fda_mix_box_jump_count,fda_mix_high_conf_weird_count,fda_mix_max_bad_streak,current_odad_bad_count,current_odad_bad_rate,current_odad_low_conf_count,current_odad_weird_count,current_odad_box_jump_count,current_odad_high_conf_weird_count,current_odad_max_bad_streak,shadow_5500_bad_count,shadow_5500_bad_rate,shadow_5500_low_conf_count,shadow_5500_weird_count,shadow_5500_box_jump_count,shadow_5500_high_conf_weird_count,shadow_5500_max_bad_streak,shadow_6500_bad_count,shadow_6500_bad_rate,shadow_6500_low_conf_count,shadow_6500_weird_count,shadow_6500_box_jump_count,shadow_6500_high_conf_weird_count,shadow_6500_max_bad_streak,rank_by_model_length
lab,Lab,current_odad,Current Odad,20,449,646,450,647,198,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00450.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00647.jpg,12,0,192,26,82,1.0,0.0,0.6228874921798706,58,0.2929292917251587,0,53,11,32,14,198,1.0,12,192,26,82,198,116,0.5858585834503174,3,110,11,39,101,151,0.7626262903213501,1,147,9,32,145,1
lab,Lab,current_odad,Current Odad,125,3749,3927,3750,3928,179,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03750.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03928.jpg,1,0,177,8,91,1.0,0.0,0.7313947677612305,28,0.15642458200454712,0,28,0,15,5,179,1.0,1,177,8,91,179,117,0.6536312699317932,38,108,24,15,72,164,0.916201114654541,33,155,27,29,72,2
lab,Lab,current_odad,Current Odad,169,4815,4966,4816,4967,152,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04816.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04967.jpg,18,0,144,16,55,1.0,0.0,0.601172924041748,68,0.44736841320991516,1,64,4,38,14,152,1.0,18,144,16,55,152,142,0.9342105388641357,76,127,36,5,55,147,0.9671052694320679,82,128,27,9,80,3
lab,Lab,current_odad,Current Odad,218,6112,6256,6113,6257,145,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06113.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06257.jpg,8,0,144,12,93,1.0,0.0,0.7381234169006348,24,0.16551724076271057,7,14,8,0,7,145,1.0,8,144,12,93,145,121,0.834482729434967,97,106,19,0,104,136,0.9379310607910156,45,131,9,0,130,4
lab,Lab,current_odad,Current Odad,92,2846,2976,2847,2977,131,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02847.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02977.jpg,13,0,126,16,69,1.0,0.0,0.6790977716445923,19,0.1450381726026535,2,16,4,0,4,131,1.0,13,126,16,69,131,113,0.8625954389572144,93,101,19,0,113,127,0.9694656729698181,51,120,12,8,127,5
lab,Lab,current_odad,Current Odad,215,5962,6091,5963,6092,130,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05963.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06092.jpg,0,0,126,8,93,1.0,0.0,0.8229929804801941,20,0.1538461595773697,0,17,3,12,3,130,1.0,0,126,8,93,130,72,0.5538461804389954,4,62,21,5,37,121,0.9307692050933838,4,109,26,18,63,6
lab,Lab,current_odad,Current Odad,173,5033,5154,5034,5155,122,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05034.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05155.jpg,16,0,117,12,69,1.0,0.0,0.6806399822235107,21,0.17213115096092224,2,17,5,2,7,122,1.0,16,117,12,69,122,99,0.811475396156311,78,84,23,0,42,119,0.9754098653793335,44,113,14,8,108,7
lab,Lab,current_odad,Current Odad,89,2715,2829,2716,2830,115,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02716.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02830.jpg,3,0,112,3,97,1.0,0.0,0.8495265245437622,68,0.591304361820221,0,58,23,26,14,115,1.0,3,112,3,97,115,66,0.573913037776947,6,55,24,4,23,109,0.947826087474823,8,103,12,21,75,8
lab,Lab,current_odad,Current Odad,130,3983,4092,3984,4093,110,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03984.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04093.jpg,8,0,108,8,33,1.0,0.0,0.6499717831611633,18,0.16363635659217834,0,17,2,1,6,110,1.0,8,108,8,33,110,104,0.9454545378684998,96,96,14,0,92,108,0.9818181991577148,78,103,8,0,108,9
lab,Lab,current_odad,Current Odad,23,689,795,690,796,107,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00690.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00796.jpg,9,0,103,4,53,1.0,0.0,0.6985735893249512,13,0.1214953288435936,1,12,0,4,6,107,1.0,9,103,4,53,107,96,0.8971962332725525,88,83,15,0,45,104,0.9719626307487488,68,98,9,0,100,10
lab,Lab,current_odad,Current Odad,56,1699,1786,1700,1787,88,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01700.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01787.jpg,15,0,86,6,43,1.0,0.0,0.6327728629112244,48,0.5454545617103577,8,38,19,2,9,88,1.0,15,86,6,43,88,29,0.3295454680919647,26,25,0,0,19,71,0.8068181872367859,10,65,13,13,35,11
lab,Lab,current_odad,Current Odad,53,1542,1619,1543,1620,78,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01543.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01620.jpg,19,0,75,7,22,1.0,0.0,0.5139987468719482,3,0.03846153989434242,0,3,0,1,3,78,1.0,19,75,7,22,78,75,0.9615384340286255,50,68,22,0,75,76,0.9743589758872986,47,66,21,0,60,12
lab,Lab,current_odad,Current Odad,55,1628,1697,1629,1698,70,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01629.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01698.jpg,1,0,66,6,55,1.0,0.0,0.8338801860809326,9,0.12857143580913544,0,6,4,4,3,70,1.0,1,66,6,55,70,24,0.34285715222358704,2,16,14,1,11,60,0.8571428656578064,3,52,18,11,49,13
lab,Lab,current_odad,Current Odad,88,2646,2713,2647,2714,68,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02647.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02714.jpg,6,0,66,4,4,1.0,0.0,0.49964746832847595,12,0.1764705926179886,0,12,0,3,3,68,1.0,6,66,4,4,68,68,1.0,45,64,11,0,68,68,1.0,37,62,18,2,68,14
lab,Lab,current_odad,Current Odad,59,1840,1888,1841,1889,49,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01841.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01889.jpg,10,0,42,8,10,1.0,0.0,0.50057452917099,2,0.040816325694322586,1,1,2,0,2,49,1.0,10,42,8,10,49,20,0.40816327929496765,20,7,6,0,14,35,0.7142857313156128,21,26,13,0,31,15
lab,Lab,current_odad,Current Odad,1,0,42,1,43,43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,1,0,42,1,39,1.0,0.0,0.8923075199127197,26,0.604651153087616,0,26,0,10,15,43,1.0,1,42,1,39,43,14,0.3255814015865326,11,3,4,0,7,25,0.5813953280448914,9,20,9,0,19,16
lab,Lab,current_odad,Current Odad,214,5919,5960,5920,5961,42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05920.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05961.jpg,10,0,41,4,1,1.0,0.0,0.4516063928604126,5,0.1190476194024086,0,5,0,0,3,42,1.0,10,41,4,1,42,41,0.976190447807312,24,40,11,0,24,41,0.976190447807312,17,40,7,1,24,17
lab,Lab,current_odad,Current Odad,87,2604,2644,2605,2645,41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02605.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02645.jpg,15,0,35,9,0,1.0,0.0,0.3012881875038147,27,0.6585366129875183,0,27,0,13,11,41,1.0,15,35,9,0,41,33,0.8048780560493469,33,22,3,0,33,35,0.8536585569381714,35,31,4,0,35,18
lab,Lab,current_odad,Current Odad,58,1795,1833,1796,1834,39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01796.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01834.jpg,10,0,33,5,7,1.0,0.0,0.4772472381591797,12,0.3076923191547394,0,12,0,7,8,39,1.0,10,33,5,7,39,34,0.8717948794364929,34,26,7,0,18,39,1.0,36,33,5,0,39,19
lab,Lab,current_odad,Current Odad,64,2009,2044,2010,2045,36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02010.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02045.jpg,35,0,8,12,0,1.0,0.0,0.07130666822195053,13,0.3611111044883728,2,13,0,4,4,36,1.0,35,8,12,0,36,13,0.3611111044883728,13,0,0,0,10,32,0.8888888955116272,32,2,4,0,18,20
lab,Lab,current_odad,Current Odad,139,4216,4251,4217,4252,36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04217.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04252.jpg,12,0,31,8,1,1.0,0.0,0.41809913516044617,15,0.4166666567325592,1,15,0,13,5,36,1.0,12,31,8,1,36,16,0.4444444477558136,16,0,0,0,13,20,0.5555555820465088,18,12,13,0,18,21
lab,Lab,current_odad,Current Odad,170,4968,5002,4969,5003,35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04969.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05003.jpg,0,0,34,2,32,1.0,0.0,0.9314801692962646,5,0.1428571492433548,0,4,2,0,5,35,1.0,0,34,2,32,35,0,0.0,0,0,0,0,0,24,0.6857143044471741,0,21,6,17,22,22
lab,Lab,current_odad,Current Odad,52,1507,1540,1508,1541,34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01508.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01541.jpg,12,0,29,10,0,1.0,0.0,0.38224610686302185,19,0.5588235259056091,0,19,0,13,10,34,1.0,12,29,10,0,34,26,0.7647058963775635,26,23,4,0,26,28,0.8235294222831726,28,24,4,0,27,23
lab,Lab,current_odad,Current Odad,129,3950,3981,3951,3982,32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03951.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03982.jpg,11,0,27,12,2,1.0,0.0,0.4480203688144684,4,0.125,3,1,2,0,2,32,1.0,11,27,12,2,32,7,0.21875,7,4,3,0,4,21,0.65625,1,16,10,0,12,24
lab,Lab,current_odad,Current Odad,96,3113,3141,3114,3142,29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03114.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03142.jpg,29,0,0,4,0,1.0,0.0,0.0302931796759367,18,0.6206896305084229,1,18,0,4,9,29,1.0,29,0,4,0,29,14,0.48275861144065857,14,0,0,0,12,25,0.8620689511299133,25,1,2,0,25,25
lab,Lab,current_odad,Current Odad,236,6534,6561,6535,6562,28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06535.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06562.jpg,28,0,7,6,0,1.0,0.0,0.07900332659482956,0,0.0,0,0,0,0,0,28,1.0,28,7,6,0,28,14,0.5,14,0,0,0,11,13,0.4642857015132904,13,1,3,0,12,26
lab,Lab,current_odad,Current Odad,152,4361,4383,4362,4384,23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04362.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04384.jpg,23,0,12,12,0,1.0,0.0,0.06763159483671188,1,0.043478261679410934,1,0,0,0,1,23,1.0,23,12,12,0,23,15,0.6521739363670349,15,0,3,0,8,15,0.6521739363670349,15,0,2,0,8,27
lab,Lab,current_odad,Current Odad,32,917,938,918,939,22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00918.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00939.jpg,22,0,9,10,0,1.0,0.0,0.03878642991185188,3,0.13636364042758942,0,3,0,1,2,22,1.0,22,9,10,0,22,10,0.4545454680919647,10,0,0,0,6,14,0.6363636255264282,14,2,4,0,9,28
lab,Lab,current_odad,Current Odad,144,4283,4303,4284,4304,21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04284.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04304.jpg,9,0,15,8,3,1.0,0.0,0.4154110848903656,7,0.3333333432674408,2,7,0,0,4,21,1.0,9,15,8,3,21,18,0.8571428656578064,18,4,5,0,10,16,0.761904776096344,16,3,2,0,9,29
lab,Lab,current_odad,Current Odad,183,5301,5321,5302,5322,21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05302.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05322.jpg,21,0,7,9,0,1.0,0.0,0.056095901876688004,4,0.190476194024086,0,4,0,3,3,21,1.0,21,7,9,0,21,19,0.9047619104385376,19,0,0,0,19,21,1.0,21,3,4,0,21,30
lab,Lab,current_odad,Current Odad,79,2166,2184,2167,2185,19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02167.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02185.jpg,19,0,5,8,0,1.0,0.0,0.05036315321922302,6,0.31578946113586426,4,1,1,0,4,19,1.0,19,5,8,0,19,17,0.8947368264198303,17,0,1,0,9,14,0.7368420958518982,14,1,4,0,7,31
lab,Lab,current_odad,Current Odad,105,3280,3297,3281,3298,18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03281.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03298.jpg,17,0,12,6,0,1.0,0.0,0.07104304432868958,1,0.0555555559694767,1,0,0,0,1,18,1.0,17,12,6,0,18,17,0.9444444179534912,17,4,6,0,17,18,1.0,17,5,8,0,18,32
lab,Lab,current_odad,Current Odad,223,6392,6409,6393,6410,18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06393.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06410.jpg,15,0,11,6,0,1.0,0.0,0.08288933336734772,9,0.5,0,9,0,1,2,18,1.0,15,11,6,0,18,14,0.7777777910232544,14,0,0,0,7,17,0.9444444179534912,17,4,4,0,17,33
lab,Lab,current_odad,Current Odad,97,3143,3159,3144,3160,17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03144.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03160.jpg,17,0,4,3,0,1.0,0.0,0.040073640644550323,9,0.529411792755127,4,5,0,0,4,17,1.0,17,4,3,0,17,17,1.0,17,2,1,0,17,17,1.0,17,4,2,0,17,34
lab,Lab,current_odad,Current Odad,211,5883,5899,5884,5900,17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05884.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05900.jpg,5,0,12,8,0,1.0,0.0,0.30742186307907104,2,0.11764705926179886,0,2,0,1,2,17,1.0,5,12,8,0,17,11,0.6470588445663452,9,6,3,0,9,17,1.0,14,15,4,0,17,35
lab,Lab,current_odad,Current Odad,199,5436,5451,5437,5452,16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05437.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05452.jpg,15,0,8,11,0,1.0,0.0,0.05810195207595825,4,0.25,3,0,2,0,2,16,1.0,15,8,11,0,16,12,0.75,11,0,1,0,7,14,0.875,13,2,4,0,8,36
lab,Lab,current_odad,Current Odad,231,6457,6472,6458,6473,16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06458.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06473.jpg,8,0,11,8,0,1.0,0.0,0.2776101231575012,4,0.25,0,4,1,1,3,16,1.0,8,11,8,0,16,16,1.0,16,10,6,0,16,15,0.9375,14,9,6,0,11,37
lab,Lab,current_odad,Current Odad,46,1067,1081,1068,1082,15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01068.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01082.jpg,15,0,7,2,0,1.0,0.0,0.10686840116977692,2,0.13333334028720856,1,1,2,0,2,15,1.0,15,7,2,0,15,12,0.800000011920929,12,2,3,0,6,15,1.0,14,4,4,0,15,38
lab,Lab,current_odad,Current Odad,124,3733,3747,3734,3748,15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03734.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03748.jpg,2,0,12,4,0,1.0,0.0,0.3852163851261139,0,0.0,0,0,0,0,0,15,1.0,2,12,4,0,15,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,39
lab,Lab,current_odad,Current Odad,232,6477,6491,6478,6492,15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06478.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06492.jpg,12,0,10,9,0,1.0,0.0,0.11737792938947678,13,0.8666666746139526,2,10,3,1,7,15,1.0,12,10,9,0,15,11,0.7333333492279053,11,1,2,0,8,12,0.800000011920929,12,2,4,0,12,40
lab,Lab,current_odad,Current Odad,7,188,201,189,202,14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00189.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00202.jpg,0,0,12,4,12,1.0,0.0,0.94069904088974,0,0.0,0,0,0,0,0,14,1.0,0,12,4,12,14,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,41
lab,Lab,current_odad,Current Odad,67,2074,2087,2075,2088,14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02075.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02088.jpg,2,0,12,4,2,1.0,0.0,0.4601815640926361,5,0.3571428656578064,2,4,0,0,2,14,1.0,2,12,4,2,14,14,1.0,14,4,3,0,14,14,1.0,13,7,7,0,14,42
lab,Lab,current_odad,Current Odad,122,3590,3603,3591,3604,14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03591.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03604.jpg,1,0,13,2,7,1.0,0.0,0.7129374742507935,10,0.7142857313156128,9,0,2,0,10,14,1.0,1,13,2,7,14,10,0.7142857313156128,5,7,3,0,10,10,0.7142857313156128,5,9,2,0,10,43
lab,Lab,current_odad,Current Odad,83,2358,2370,2359,2371,13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02359.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02371.jpg,2,0,12,2,7,1.0,0.0,0.6712348461151123,2,0.1538461595773697,1,2,0,0,1,13,1.0,2,12,2,7,13,4,0.3076923191547394,3,2,3,0,3,10,0.7692307829856873,8,4,5,0,6,44
lab,Lab,current_odad,Current Odad,212,5902,5913,5903,5914,12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05903.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05914.jpg,8,0,7,5,0,1.0,0.0,0.2951880395412445,0,0.0,0,0,0,0,0,12,1.0,8,7,5,0,12,12,1.0,11,11,2,0,12,12,1.0,12,9,2,0,12,45
lab,Lab,current_odad,Current Odad,22,677,687,678,688,11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00678.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00688.jpg,1,0,10,3,2,1.0,0.0,0.4718269407749176,0,0.0,0,0,0,0,0,11,1.0,1,10,3,2,11,9,0.8181818127632141,5,9,1,0,9,10,0.9090909361839294,1,10,1,0,10,46
lab,Lab,current_odad,Current Odad,39,990,1000,991,1001,11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00991.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01001.jpg,7,0,9,2,0,1.0,0.0,0.24147170782089233,2,0.1818181872367859,0,2,0,0,2,11,1.0,7,9,2,0,11,11,1.0,11,7,2,0,11,11,1.0,11,9,2,0,11,47
lab,Lab,current_odad,Current Odad,68,2090,2100,2091,2101,11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02091.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02101.jpg,4,0,10,4,0,1.0,0.0,0.3326614201068878,5,0.4545454680919647,1,5,0,2,3,11,1.0,4,10,4,0,11,11,1.0,11,8,2,0,11,11,1.0,11,9,4,0,11,48
lab,Lab,current_odad,Current Odad,188,5360,5370,5361,5371,11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05361.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05371.jpg,8,0,7,4,0,1.0,0.0,0.20653824508190155,4,0.3636363744735718,1,3,0,0,3,11,1.0,8,7,4,0,11,11,1.0,11,7,4,0,11,10,0.9090909361839294,10,9,2,0,10,49
lab,Lab,current_odad,Current Odad,101,3201,3210,3202,3211,10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03202.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03211.jpg,8,0,4,4,0,1.0,0.0,0.17545655369758606,8,0.800000011920929,2,8,0,3,4,10,1.0,8,4,4,0,10,10,1.0,10,7,4,0,10,10,1.0,9,8,3,0,10,50
lab,Lab,current_odad,Current Odad,21,667,675,668,676,9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00668.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00676.jpg,0,0,7,6,0,1.0,0.0,0.6005021929740906,0,0.0,0,0,0,0,0,9,1.0,0,7,6,0,9,0,0.0,0,0,0,0,0,6,0.6666666865348816,0,4,4,0,6,51
lab,Lab,current_odad,Current Odad,147,4318,4326,4319,4327,9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04319.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04327.jpg,9,0,0,0,0,1.0,0.0,0.1104356199502945,9,1.0,0,9,0,1,9,9,1.0,9,0,0,0,9,2,0.2222222238779068,2,0,0,0,2,0,0.0,0,0,0,0,0,52
lab,Lab,current_odad,Current Odad,151,4348,4356,4349,4357,9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04349.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_04357.jpg,9,0,0,0,0,1.0,0.0,0.12400057911872864,0,0.0,0,0,0,0,0,9,1.0,9,0,0,0,9,5,0.5555555820465088,5,0,0,0,5,9,1.0,9,0,0,0,9,53
lab,Lab,current_odad,Current Odad,187,5350,5358,5351,5359,9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05351.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_05359.jpg,2,0,8,2,1,1.0,0.0,0.39651134610176086,1,0.1111111119389534,1,1,0,0,1,9,1.0,2,8,2,1,9,9,1.0,9,9,3,0,9,9,1.0,9,9,2,0,9,54
lab,Lab,current_odad,Current Odad,33,941,948,942,949,8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00942.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00949.jpg,8,0,1,2,0,1.0,0.0,0.11473448574542999,2,0.25,0,2,0,0,2,8,1.0,8,1,2,0,8,8,1.0,8,0,0,0,8,8,1.0,8,0,0,0,8,55
lab,Lab,current_odad,Current Odad,103,3266,3273,3267,3274,8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03267.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03274.jpg,8,0,1,2,0,1.0,0.0,0.07232276350259781,0,0.0,0,0,0,0,0,8,1.0,8,1,2,0,8,8,1.0,8,0,0,0,8,7,0.875,7,0,0,0,4,56
lab,Lab,current_odad,Current Odad,76,2146,2152,2147,2153,7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02147.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02153.jpg,7,0,0,0,0,1.0,0.0,0.1754995584487915,1,0.1428571492433548,0,1,0,0,1,7,1.0,7,0,0,0,7,3,0.4285714328289032,3,0,0,0,3,2,0.2857142984867096,2,0,0,0,1,57
lab,Lab,current_odad,Current Odad,107,3307,3313,3308,3314,7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03308.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_03314.jpg,6,0,1,5,0,1.0,0.0,0.13404828310012817,0,0.0,0,0,0,0,0,7,1.0,6,1,5,0,7,4,0.5714285969734192,4,1,1,0,4,4,0.5714285969734192,4,1,1,0,4,58
lab,Lab,current_odad,Current Odad,235,6507,6513,6508,6514,7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06508.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_06514.jpg,6,0,6,4,0,1.0,0.0,0.05931932106614113,5,0.7142857313156128,5,3,0,0,5,7,1.0,6,6,4,0,7,7,1.0,6,6,3,0,7,7,1.0,6,6,3,0,7,59
lab,Lab,current_odad,Current Odad,15,422,427,423,428,6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00423.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00428.jpg,0,0,5,3,0,1.0,0.0,0.42461785674095154,3,0.5,0,3,0,2,3,6,1.0,0,5,3,0,6,6,1.0,0,6,1,1,6,6,1.0,0,6,0,1,6,60
lab,Lab,current_odad,Current Odad,47,1083,1088,1084,1089,6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01084.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_01089.jpg,5,0,3,5,0,1.0,0.0,0.13543230295181274,1,0.1666666716337204,1,0,0,0,1,6,1.0,5,3,5,0,6,3,0.5,3,0,0,0,1,4,0.6666666865348816,4,0,0,0,3,61
lab,Lab,current_odad,Current Odad,91,2839,2844,2840,2845,6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02840.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02845.jpg,0,0,5,2,5,1.0,0.0,0.9089156985282898,0,0.0,0,0,0,0,0,6,1.0,0,5,2,5,6,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,62
lab,Lab,current_odad,Current Odad,93,2978,2983,2979,2984,6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02979.jpg,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_02984.jpg,1,0,3,4,0,1.0,0.0,0.6231119632720947,0,0.0,0,0,0,0,0,6,1.0,1,3,4,0,6,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,63
