dataset,dataset_label,model,model_label,n_images,n_detected,det_rate_at_conf,no_detection_rate,low_conf_rate,high_conf_rate,mean_box_area_frac,median_box_area_frac,tiny_box_rate,large_box_rate,border_touch_rate,weird_box_rate,high_conf_weird_box_rate,good_streak_count,max_good_streak,mean_good_streak_len,good_rate,good_basis
lab,Lab,fda_mix,FDA-mix,6735,6732,0.9824795722961426,0.0004454342997632921,0.017520416527986526,0.673793613910675,0.14221110939979553,0.07841747999191284,0.0,0.10467705875635147,0.21469932794570923,0.21514476835727692,0.10927987843751907,502,235,10.268924713134766,0.7654045820236206,proxy_conf_not_weird_not_box_jump
lab,Lab,current_odad,Current Odad,6735,6735,0.8703786134719849,0.0,0.12962138652801514,0.6317743062973022,0.12016788125038147,0.0627661719918251,0.0,0.12308834493160248,0.3612472116947174,0.36332592368125916,0.1544172167778015,239,238,15.251046180725098,0.5412026643753052,proxy_conf_not_weird_not_box_jump
lab,Lab,shadow_5500,Shadow 5500,6735,6725,0.783815860748291,0.0014847810380160809,0.2161841094493866,0.6363771557807922,0.056241512298583984,0.058435436338186264,0.0,0.00014847809507045895,0.20935411751270294,0.20935411751270294,0.010690422728657722,182,427,25.626373291015625,0.6925018429756165,proxy_conf_not_weird_not_box_jump
lab,Lab,shadow_6500,Shadow 6500,6735,6734,0.8077208399772644,0.00014847809507045895,0.1922791451215744,0.5741648077964783,0.056915391236543655,0.0568474605679512,0.0,0.0,0.285820335149765,0.285820335149765,0.025538234040141106,184,424,22.79347801208496,0.6227171421051025,proxy_conf_not_weird_not_box_jump
