frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,coverage_buffer_size,coverage_entries_added,coverage_entries_sampled,coverage_loss,coverage_region_entries_skipped,coverage_region_mean_student_conf,coverage_region_mean_teacher_conf,coverage_region_mean_conf_gap,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.837120,0,0,0,1,0,2,1,1.814892,0.837120,0.977772,0,,,0.001931,1.006961,0,0,0,0,0,0,,,0,0,0,,0,,,,13.235,0.837120,13.368,0.000,38.792
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.837567,0,0,0,1,0,2,1,1.813120,0.837567,0.975553,0,,,0.002466,1.000904,0,0,0,0,0,0,,,0,0,0,,0,,,,13.368,0.837567,13.390,0.000,38.943
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.839836,0,0,0,1,0,1,1,1.833293,0.839836,0.993457,0,,,0.000653,1.000644,0,0,0,0,0,0,,,0,0,0,,0,,,,13.375,0.839836,12.955,0.000,36.494
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.855603,0,0,0,1,0,1,1,1.810507,0.855603,0.954905,0,,,0.004687,1.000654,0,0,0,0,0,0,,,0,0,0,,0,,,,13.761,0.855603,13.646,0.000,44.893
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.761126,0,0,0,0,0,1,1,0.761126,0.761126,0.000000,0,,,0.250604,2.383342,0,0,0,0,0,0,,,0,0,0,,0,,,,12.934,0.761126,12.851,0.000,35.284
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.796143,0,0,0,0,0,2,1,0.796143,0.796143,0.000000,0,,,0.241409,2.307664,0,0,0,0,0,0,,,0,0,0,,0,,,,12.923,0.796143,12.994,0.000,37.588
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.777080,0,0,0,1,0,2,1,1.713976,0.777080,0.936896,0,,,0.005084,1.021655,0,0,0,0,0,0,,,0,0,0,,0,,,,13.125,0.777080,12.913,0.000,35.831
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.807009,0,0,0,1,0,2,1,1.743478,0.807009,0.936468,0,,,0.006205,1.008997,0,0,0,0,0,0,,,0,0,0,,0,,,,13.751,0.807009,13.464,0.000,45.548
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.786611,0,0,0,1,0,2,1,1.703227,0.786611,0.916616,0,,,0.006552,1.032420,0,0,0,0,0,0,,,0,0,0,,0,,,,13.272,0.786611,13.628,0.000,38.074
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.574654,0,0,0,0,0,2,1,0.574654,0.574654,0.000000,0,,,0.220021,1.832352,0,0,0,0,0,0,,,0,0,0,,0,,,,13.337,0.574654,13.145,0.000,38.087
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.677804,0,0,0,0,0,2,1,0.677804,0.677804,0.000000,0,,,0.204716,9.919765,0,0,0,0,0,0,,,0,0,0,,0,,,,13.083,0.677804,13.244,0.000,37.608
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.697927,0,0,0,1,0,2,1,1.671833,0.697927,0.973906,0,,,0.001428,1.004984,0,0,0,0,0,0,,,0,0,0,,0,,,,13.264,0.697927,13.013,0.000,41.984
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.697927,0,0,0,1,0,2,1,1.697927,0.697927,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,0,0,0,,0,,,,13.099,0.697927,13.043,0.000,37.305
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.453176,0,0,0,1,0,2,2,1.098044,0.453176,0.644868,0,,,0.025500,1.171926,0,0,0,0,0,0,,,0,0,0,,0,,,,13.433,0.690378,13.658,0.000,49.464
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.564345,0,0,0,1,0,2,2,0.834954,0.564345,0.270610,0,,,0.079027,1.487239,0,0,0,0,0,0,,,0,0,0,,0,,,,13.656,0.709036,14.369,0.000,50.082
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,0.641048,0,0,0,0,0,1,1,0.641048,0.641048,0.000000,0,,,0.443983,2.861190,0,0,0,0,0,0,,,0,0,0,,0,,,,13.159,0.641048,13.008,0.000,41.420
37,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00038.jpg,0.707168,0,0,0,1,0,2,1,1.349001,0.707168,0.641833,0,,,0.041494,1.086768,0,0,0,0,0,0,,,0,0,0,,0,,,,13.463,0.707168,13.342,0.000,37.075
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,0.408099,0,0,0,1,0,2,2,0.723012,0.408099,0.314913,0,,,0.090652,1.279352,0,0,0,0,0,0,,,0,0,0,,0,,,,13.178,0.582385,13.204,0.000,49.623
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,0.654145,0,0,0,1,0,2,1,0.759797,0.654145,0.105652,0,,,0.152884,1.443241,0,0,0,0,0,0,,,0,0,0,,0,,,,13.834,0.654145,13.390,0.000,37.173
40,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00041.jpg,0.810247,0,0,0,1,0,1,1,1.788028,0.810247,0.977781,0,,,0.001960,1.002877,0,0,0,0,0,0,,,0,0,0,,0,,,,13.304,0.810247,13.068,0.000,43.881
41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00042.jpg,0.807693,0,0,0,1,0,2,1,1.763469,0.807693,0.955776,0,,,0.004343,1.013998,0,0,0,0,0,0,,,0,0,0,,0,,,,12.957,0.807693,12.864,0.000,35.496
