frame,path,width,height,teacher_det,teacher_conf,teacher_x1,teacher_y1,teacher_x2,teacher_y2,teacher_iou_prev,student_pre_det,student_pre_conf,student_pre_x1,student_pre_y1,student_pre_x2,student_pre_y2,student_pre_iou_prev,student_post_det,student_post_conf,student_post_x1,student_post_y1,student_post_x2,student_post_y2,student_post_iou_prev,student_delta_conf,student_pre_post_iou,student_pre_post_center_shift,pseudo_accepted,update_applied,loss_total,loss_box,loss_cls,loss_dfl,latency_teacher_ms,latency_student_pre_ms,latency_student_post_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,1936,1216,1,0.641048,752.749,0.000,1914.445,728.373,,1,0.641048,752.749,0.000,1914.445,728.373,,1,0.641048,752.749,0.000,1914.445,728.373,,0.000000,1.000000,0.000000,0,0,,,,,14.177,44.472,14.406
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,1936,1216,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,0.000000,1.000000,0.000000,0,0,,,,,13.594,14.245,13.183
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,1936,1216,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,0.000000,1.000000,0.000000,0,0,,,,,13.343,13.333,13.393
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,1936,1216,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,0.000000,1.000000,0.000000,0,0,,,,,13.315,12.862,12.431
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,1936,1216,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,0.000000,1.000000,0.000000,0,0,,,,,12.136,11.655,11.730
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,1936,1216,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,0.000000,1.000000,0.000000,0,0,,,,,12.493,12.345,12.030
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,1936,1216,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,0.000000,1.000000,0.000000,0,0,,,,,12.410,12.213,11.994
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,1936,1216,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,0.000000,1.000000,0.000000,0,0,,,,,12.633,12.152,11.655
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,1936,1216,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,0.000000,1.000000,0.000000,0,0,,,,,11.824,11.787,11.784
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,1936,1216,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,0.000000,1.000000,0.000000,0,0,,,,,13.085,12.179,11.826
