frame,memory_bank_active_slots,memory_bank_writes,memory_bank_appends,memory_bank_replacements,memory_bank_duplicate_skips,memory_bank_low_quality_skips,memory_bank_stable_medium_writes,memory_slot_scale_small,memory_slot_scale_medium,memory_slot_scale_large,memory_slot_conf_medium,memory_slot_conf_high,memory_retrieval_top1_sim,memory_retrieval_mean_topk_sim,memory_retrieval_top1_slot,memory_retrieval_entropy,memory_slot_mean_pairwise_sim,memory_slot_max_pairwise_sim,memory_bank_context_norm,memory_crosslite_mean_attn_entropy,memory_crosslite_top1_attn_weight,memory_crosslite_mean_context_norm,memory_debug_images_saved
64.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5725449919700623,0.5725449919700623,0.0,-0.0,nan,nan,1.0,0.0,1.0,0.5492914021015167,2.0
65.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.94010329246521,0.94010329246521,0.0,-0.0,nan,nan,1.0,0.0,1.0,0.5492914021015167,2.0
66.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9363541007041931,0.9363541007041931,0.0,-0.0,nan,nan,1.0,0.0,1.0,0.5492914021015167,2.0
67.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9402282238006592,0.9402282238006592,0.0,-0.0,nan,nan,1.0,0.0,1.0,0.5492914021015167,2.0
68.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.831775426864624,0.831775426864624,0.0,-0.0,nan,nan,1.0,0.0,1.0,0.5492914021015167,2.0
69.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7351590991020203,0.7351590991020203,0.0,-0.0,nan,nan,1.0,0.0,1.0,0.5492914021015167,2.0
70.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7351590991020203,0.7351590991020203,0.0,-0.0,nan,nan,1.0,0.0,1.0,0.5492914021015167,2.0
71.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8822026252746582,0.8822026252746582,0.0,-0.0,nan,nan,1.0,0.0,1.0,0.5492914021015167,2.0
72.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9250816106796265,0.9250816106796265,0.0,-0.0,nan,nan,1.0,0.0,1.0,0.5492914021015167,2.0
73.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.9656261205673218,1.0,0.9195516705513,0.9312522411346436,0.9312522411346436,0.9999999403953552,0.945423811674118,0.6084601879119873,0.5146859735250473,3.0
74.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.997840166091919,2.0,0.9996635913848877,0.9555322527885437,0.9956803321838379,1.0,0.9635593593120575,0.43505898118019104,0.5109274685382843,4.0
75.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,1.0,0.998058021068573,3.0,0.9997279047966003,0.9653443098068237,0.996116042137146,1.0,0.971619188785553,0.3402467370033264,0.5081541836261749,5.0
76.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,0.9999998807907104,0.9947419166564941,4.0,0.9980084300041199,0.9717835783958435,0.996116042137146,1.0,0.9801017045974731,0.27203353494405746,0.5073099583387375,6.0
77.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,0.9999999403953552,0.9999998807907104,5.0,1.0,0.9762416481971741,1.0,1.0,0.9846315085887909,0.2275615856051445,0.5069745182991028,7.0
78.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,1.0,0.9970677495002747,6.0,0.9993800520896912,0.9780271649360657,1.0,1.0,0.9865690469741821,0.19808021932840347,0.5080131143331528,8.0
79.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,8.0,1.0,0.9967566728591919,7.0,0.9992415308952332,0.9797435998916626,1.0,1.0,0.9887636005878448,0.17289283126592636,0.5092485994100571,9.0
80.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,9.0,1.0000001192092896,0.9961865544319153,8.0,0.9989517331123352,0.9799720048904419,1.0,1.0,0.9893589615821838,0.15667276829481125,0.5092228651046753,10.0
81.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,9.0,0.9284899234771729,0.9172163009643555,8.0,0.9908899664878845,0.9799720048904419,1.0,1.0,0.9894372522830963,0.156241737306118,0.5091099441051483,10.0
