dataset,dataset_label,model,model_label,n_images,n_transitions,n_valid_box_transitions,mean_consecutive_box_iou,median_consecutive_box_iou,mean_center_shift_frac,box_jump_rate,area_jump_rate,confidence_collapse_rate,failure_streak_count,max_failure_streak,mean_failure_streak_len,failure_rate,failure_basis,good_streak_count,max_good_streak,mean_good_streak_len,good_rate,good_basis
lab,Lab,fda_mix,FDA-mix,6735,6734,6729,0.7537074089050293,0.9319159984588623,0.03615965694189072,0.019305018708109856,0.17775467038154602,0.003118503140285611,502,41,3.1474103927612305,0.2345954030752182,proxy_conf_or_weird_or_box_jump,502,235,10.268924713134766,0.7654045820236206,proxy_conf_not_weird_not_box_jump
lab,Lab,adapter_base,Adapter Base,6735,6734,6683,0.8668711185455322,0.9566132426261902,0.019268924370408058,0.031185030937194824,0.021235521882772446,0.004752004984766245,215,71,6.097674369812012,0.19465479254722595,proxy_conf_or_weird_or_box_jump,216,465,25.11111068725586,0.8053452372550964,proxy_conf_not_weird_not_box_jump
lab,Lab,current_odad,Current Odad,6735,6734,6734,0.8066510558128357,0.9445353150367737,0.040337882936000824,0.09058509021997452,0.09504009783267975,0.0077220075763762,239,198,12.92887020111084,0.4587973356246948,proxy_conf_or_weird_or_box_jump,239,238,15.251046180725098,0.5412026643753052,proxy_conf_not_weird_not_box_jump
lab,Lab,mem_adapter_candidate,Mem Adapter Candidate,6735,6734,6582,0.8663542866706848,0.9589504599571228,0.022268952801823616,0.039501041173934937,0.02034451998770237,0.006237006280571222,213,88,6.868544578552246,0.21722346544265747,proxy_conf_or_weird_or_box_jump,214,467,24.635513305664062,0.7827765345573425,proxy_conf_not_weird_not_box_jump
