frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.839836,0,0,0,1,0,1,1,1.833293,0.839836,0.993457,0,,,0.000653,1.000644,0,0,0,0,0,0,,,13.270,0.839836,12.510,0.000,35.099
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.855603,0,0,0,1,0,1,1,1.810507,0.855603,0.954905,0,,,0.004687,1.000654,0,0,0,0,0,0,,,12.480,0.855603,14.157,0.000,40.591
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.761126,0,0,0,0,0,1,1,0.761126,0.761126,0.000000,0,,,0.250604,2.383342,0,0,0,0,0,0,,,11.717,0.761126,11.578,0.000,33.609
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.796143,0,0,0,0,0,2,1,0.796143,0.796143,0.000000,0,,,0.241409,2.307664,0,0,0,0,0,0,,,11.936,0.796143,12.810,0.000,35.568
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.777080,0,0,0,1,0,2,1,1.713976,0.777080,0.936896,0,,,0.005084,1.021655,0,0,0,0,0,0,,,12.263,0.777080,11.933,0.000,34.900
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.807009,0,0,0,1,0,2,1,1.743478,0.807009,0.936468,0,,,0.006205,1.008997,0,0,0,0,0,0,,,12.069,0.807009,11.954,0.000,37.564
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.786611,0,0,0,1,0,2,1,1.703227,0.786611,0.916616,0,,,0.006552,1.032420,0,0,0,0,0,0,,,12.026,0.786611,11.937,0.000,32.531
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.574654,0,0,0,0,0,2,1,0.574654,0.574654,0.000000,0,,,0.220021,1.832352,0,0,0,0,0,0,,,11.878,0.574654,12.270,0.000,35.868
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.677804,0,0,0,0,0,2,1,0.677804,0.677804,0.000000,0,,,0.204716,9.919765,0,0,0,0,0,0,,,12.503,0.677804,12.692,0.000,33.762
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.697927,0,0,0,1,0,2,1,1.671833,0.697927,0.973906,0,,,0.001428,1.004984,0,0,0,0,0,0,,,12.808,0.697927,12.726,0.000,39.414
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.697927,0,0,0,1,0,2,1,1.697927,0.697927,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,11.838,0.697927,11.623,0.000,33.987
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.453176,0,0,0,1,0,2,2,1.098044,0.453176,0.644868,0,,,0.025500,1.171926,0,0,0,0,0,0,,,11.982,0.690378,12.749,0.000,45.218
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.564345,0,0,0,1,0,2,2,0.834954,0.564345,0.270610,0,,,0.079027,1.487239,0,0,0,0,0,0,,,11.997,0.709036,12.356,0.000,43.426
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,0.641048,0,0,0,0,0,1,1,0.641048,0.641048,0.000000,0,,,0.443983,2.861190,0,0,0,0,0,0,,,12.385,0.641048,11.451,0.000,39.156
37,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00038.jpg,0.707168,0,0,0,1,0,2,1,1.349001,0.707168,0.641833,0,,,0.041494,1.086768,0,0,0,0,0,0,,,11.777,0.707168,11.590,0.000,33.162
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,0.408099,0,0,0,1,0,2,2,0.723012,0.408099,0.314913,0,,,0.090652,1.279352,0,0,0,0,0,0,,,11.726,0.582385,11.867,0.000,44.358
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,0.654145,0,0,0,1,0,2,1,0.759797,0.654145,0.105652,0,,,0.152884,1.443241,0,0,0,0,0,0,,,12.528,0.654145,12.117,0.000,35.346
40,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00041.jpg,0.810247,0,0,0,1,0,1,1,1.788028,0.810247,0.977781,0,,,0.001960,1.002877,0,0,0,0,0,0,,,12.597,0.810247,11.727,0.000,39.356
41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00042.jpg,0.807693,0,0,0,1,0,2,1,1.763469,0.807693,0.955776,0,,,0.004343,1.013998,0,0,0,0,0,0,,,11.791,0.807693,11.680,0.000,33.362
42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,0.755115,0,0,0,1,0,2,1,1.706930,0.755115,0.951815,0,,,0.002373,1.022551,0,0,0,0,0,0,,,11.437,0.755115,11.796,0.000,33.160
43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00044.jpg,0.755115,0,0,0,1,0,2,1,1.755115,0.755115,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,11.864,0.755115,15.083,0.000,35.493
44,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00045.jpg,0.466580,0,0,0,1,0,2,2,1.052505,0.466580,0.585925,0,,,0.049906,1.151482,0,0,0,0,0,0,,,11.636,0.492451,12.073,0.000,46.202
45,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00046.jpg,0.000000,0,0,0,0,0,0,0,,,,0,,,,,0,0,0,0,0,0,,,11.764,0.194959,11.597,0.000,33.214
46,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00047.jpg,0.510390,0,0,0,1,0,1,1,0.510390,0.510390,0.000000,0,,,,,0,0,0,0,0,0,,,11.308,0.510390,11.361,0.000,32.099
47,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00048.jpg,0.341069,0,0,0,1,0,2,2,1.220502,0.341069,0.879434,0,,,0.013318,1.032040,0,0,0,0,0,0,,,11.570,0.399717,11.719,0.000,40.114
