frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.839836,0,0,0,1,0,1,1,1.833293,0.839836,0.993457,0,,,0.000653,1.000644,0,0,0,0,0,0,,,13.581,0.839836,13.780,0.000,38.925
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.855603,0,0,0,1,0,1,1,1.810507,0.855603,0.954905,0,,,0.004687,1.000654,0,0,0,0,0,0,,,13.619,0.855603,13.459,0.000,42.913
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.761126,0,0,0,0,0,1,1,0.761126,0.761126,0.000000,0,,,0.250604,2.383342,0,0,0,0,0,0,,,12.539,0.761126,12.704,0.000,35.574
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.796143,0,0,0,0,0,2,1,0.796143,0.796143,0.000000,0,,,0.241409,2.307664,0,0,0,0,0,0,,,13.132,0.796143,13.917,0.000,38.059
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.777080,0,0,0,1,0,2,1,1.713976,0.777080,0.936896,0,,,0.005084,1.021655,0,0,0,0,0,0,,,13.221,0.777080,12.511,0.000,36.759
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.807009,0,0,0,1,0,2,1,1.743478,0.807009,0.936468,0,,,0.006205,1.008997,0,0,0,0,0,0,,,13.383,0.807009,13.306,0.000,43.675
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.786611,0,0,0,1,0,2,1,1.703227,0.786611,0.916616,0,,,0.006552,1.032420,0,0,0,0,0,0,,,13.519,0.786611,13.581,0.000,36.794
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.574654,0,0,0,0,0,2,1,0.574654,0.574654,0.000000,0,,,0.220021,1.832352,0,0,0,0,0,0,,,13.188,0.574654,13.243,0.000,39.421
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.677804,0,0,0,0,0,2,1,0.677804,0.677804,0.000000,0,,,0.204716,9.919765,0,0,0,0,0,0,,,13.419,0.677804,13.152,0.000,36.075
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.697927,0,0,0,1,0,2,1,1.671833,0.697927,0.973906,0,,,0.001428,1.004984,0,0,0,0,0,0,,,13.222,0.697927,13.000,0.000,43.051
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.697927,0,0,0,1,0,2,1,1.697927,0.697927,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,13.016,0.697927,12.899,0.000,36.712
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.453176,0,0,0,1,0,2,2,1.098044,0.453176,0.644868,0,,,0.025500,1.171926,0,0,0,0,0,0,,,13.897,0.690378,13.978,0.000,51.994
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.564345,0,0,0,1,0,2,2,0.834954,0.564345,0.270610,0,,,0.079027,1.487239,0,0,0,0,0,0,,,13.229,0.709036,13.652,0.000,46.845
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,0.641048,0,0,0,0,0,1,1,0.641048,0.641048,0.000000,0,,,0.443983,2.861190,0,0,0,0,0,0,,,13.012,0.641048,13.418,0.000,41.048
