frame,path,active_conf,active_latency_ms,shadow_teacher_conf,shadow_student_conf,shadow_teacher_latency_ms,shadow_student_latency_ms,shadow_update_latency_ms,shadow_update_applied,shadow_updates_this_frame,shadow_buffer_size,shadow_accepted,update_paused,throttle_weird_rate,throttle_box_jump_rate,active_weights,active_model_kind,promotion_policy
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.9597565531730652,506.0218811035156,0.9597565531730652,0.9597565531730652,24.569984436035156,24.070335388183594,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.9597565531730652,15.282879829406738,0.9597565531730652,0.9597565531730652,15.622336387634277,13.774175643920898,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.957534670829773,15.823904037475586,0.957534670829773,0.957534670829773,14.245408058166504,14.2391357421875,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.8129295706748962,14.205727577209473,0.8129295706748962,0.8129295706748962,14.786368370056152,13.594976425170898,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.9395751953125,12.797792434692383,0.9395751953125,0.9395751953125,12.802111625671387,12.697376251220703,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.9395751953125,12.765503883361816,0.9395751953125,0.9395751953125,12.888671875,12.989439964294434,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.921852707862854,16.039648056030273,0.921852707862854,0.921852707862854,13.101696014404297,12.870528221130371,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.5567307472229004,12.421536445617676,0.5567307472229004,0.5567307472229004,12.338175773620605,12.270591735839844,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.8343337178230286,14.240511894226074,0.8343337178230286,0.8343337178230286,12.630528450012207,12.848608016967773,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.1894940584897995,13.050399780273438,0.0,0.1894940584897995,13.057344436645508,12.466400146484375,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic
