frame,update_applied,grad_m10_Upsample,grad_m11_Concat,grad_m12_C2f,grad_m13_Upsample,grad_m14_Concat,grad_m15_C2f,grad_m16_Conv,grad_m17_Concat,grad_m18_C2f,grad_m19_Conv,grad_m20_Concat,grad_m21_C2f,grad_m22_Detect,delta_m10_Upsample,delta_m11_Concat,delta_m12_C2f,delta_m13_Upsample,delta_m14_Concat,delta_m15_C2f,delta_m16_Conv,delta_m17_Concat,delta_m18_C2f,delta_m19_Conv,delta_m20_Concat,delta_m21_C2f,delta_m22_Detect
72,1,0.00000000e+00,0.00000000e+00,4.71604765e+01,0.00000000e+00,0.00000000e+00,2.91995750e+01,1.62011749e+01,0.00000000e+00,3.83171197e+01,1.93666586e+01,0.00000000e+00,3.57353997e+01,5.97660665e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.00757659e-03
73,1,0.00000000e+00,0.00000000e+00,6.48415151e+01,0.00000000e+00,0.00000000e+00,3.96258452e+01,2.18668204e+01,0.00000000e+00,5.15338905e+01,2.63383341e+01,0.00000000e+00,4.66714944e+01,7.52110835e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.65754768e-03
74,1,0.00000000e+00,0.00000000e+00,6.97115820e+01,0.00000000e+00,0.00000000e+00,4.40823493e+01,2.45713351e+01,0.00000000e+00,5.56196894e+01,2.88029188e+01,0.00000000e+00,5.15398364e+01,8.19669943e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.96062430e-03
75,1,0.00000000e+00,0.00000000e+00,8.34963080e+01,0.00000000e+00,0.00000000e+00,5.18635358e+01,2.91006498e+01,0.00000000e+00,6.54164924e+01,3.36386874e+01,0.00000000e+00,5.92481808e+01,9.19253592e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.02912848e-03
76,1,0.00000000e+00,0.00000000e+00,8.63718744e+01,0.00000000e+00,0.00000000e+00,5.42029170e+01,3.08780419e+01,0.00000000e+00,6.87272280e+01,3.58103408e+01,0.00000000e+00,6.28786166e+01,9.67135512e+01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.92907905e-03
77,1,0.00000000e+00,0.00000000e+00,1.00349839e+02,0.00000000e+00,0.00000000e+00,6.23217152e+01,3.57478751e+01,0.00000000e+00,7.99942715e+01,4.21566564e+01,0.00000000e+00,7.25161385e+01,1.09689667e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.09603724e-03
78,1,0.00000000e+00,0.00000000e+00,1.08137512e+02,0.00000000e+00,0.00000000e+00,6.68208964e+01,3.86994921e+01,0.00000000e+00,8.79909015e+01,4.71246151e+01,0.00000000e+00,8.01283669e+01,1.18759290e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.22098094e-03
79,1,0.00000000e+00,0.00000000e+00,1.38001627e+02,0.00000000e+00,0.00000000e+00,8.31825600e+01,4.76023568e+01,0.00000000e+00,1.12391396e+02,6.03690187e+01,0.00000000e+00,1.01418427e+02,1.34795100e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.61839127e-03
80,1,0.00000000e+00,0.00000000e+00,2.06284571e+02,0.00000000e+00,0.00000000e+00,1.20520971e+02,6.75303428e+01,0.00000000e+00,1.55438328e+02,7.72621782e+01,0.00000000e+00,1.27716184e+02,1.51162217e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.05353387e-03
81,0,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1,0.00000000e+00,0.00000000e+00,2.26201615e+02,0.00000000e+00,0.00000000e+00,1.33292178e+02,7.47256465e+01,0.00000000e+00,1.70133548e+02,8.49352001e+01,0.00000000e+00,1.40920145e+02,1.68881277e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.50651879e-03
83,1,0.00000000e+00,0.00000000e+00,2.27123387e+02,0.00000000e+00,0.00000000e+00,1.34269352e+02,7.58923637e+01,0.00000000e+00,1.71260492e+02,8.56762507e+01,0.00000000e+00,1.42770351e+02,1.75211256e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.47391011e-03
84,1,0.00000000e+00,0.00000000e+00,2.39658418e+02,0.00000000e+00,0.00000000e+00,1.41650238e+02,8.09291304e+01,0.00000000e+00,1.80793578e+02,9.10121221e+01,0.00000000e+00,1.52354187e+02,1.88856346e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.73423868e-03
85,1,0.00000000e+00,0.00000000e+00,2.60140157e+02,0.00000000e+00,0.00000000e+00,1.53922211e+02,8.85219168e+01,0.00000000e+00,1.96634036e+02,9.98202208e+01,0.00000000e+00,1.67771843e+02,2.05763261e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.06070043e-03
86,1,0.00000000e+00,0.00000000e+00,2.62827927e+02,0.00000000e+00,0.00000000e+00,1.56677481e+02,9.07239372e+01,0.00000000e+00,1.99895764e+02,1.02485350e+02,0.00000000e+00,1.72816447e+02,2.13089854e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.06045804e-03
87,1,0.00000000e+00,0.00000000e+00,2.66039549e+02,0.00000000e+00,0.00000000e+00,1.59805078e+02,9.31161105e+01,0.00000000e+00,2.03491775e+02,1.05160468e+02,0.00000000e+00,1.78035613e+02,2.20761705e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.17119128e-03
88,1,0.00000000e+00,0.00000000e+00,2.70759804e+02,0.00000000e+00,0.00000000e+00,1.62972458e+02,9.53405907e+01,0.00000000e+00,2.09544130e+02,1.09388389e+02,0.00000000e+00,1.85277118e+02,2.30461331e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.08109090e-03
89,1,0.00000000e+00,0.00000000e+00,2.76557760e+02,0.00000000e+00,0.00000000e+00,1.66303477e+02,9.80393801e+01,0.00000000e+00,2.16674696e+02,1.14341171e+02,0.00000000e+00,1.94058551e+02,2.41443527e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.95757793e-03
90,1,0.00000000e+00,0.00000000e+00,2.80886295e+02,0.00000000e+00,0.00000000e+00,1.69615109e+02,1.00811748e+02,0.00000000e+00,2.21951996e+02,1.17642588e+02,0.00000000e+00,2.00207546e+02,2.49335960e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.85708146e-03
91,1,0.00000000e+00,0.00000000e+00,2.89409654e+02,0.00000000e+00,0.00000000e+00,1.75314741e+02,1.05161989e+02,0.00000000e+00,2.31096585e+02,1.21997292e+02,0.00000000e+00,2.08683455e+02,2.58854955e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.88407077e-03
92,1,0.00000000e+00,0.00000000e+00,2.91970929e+02,0.00000000e+00,0.00000000e+00,1.77567010e+02,1.07377416e+02,0.00000000e+00,2.33636611e+02,1.24469681e+02,0.00000000e+00,2.12976644e+02,2.62368263e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.46269366e-03
93,1,0.00000000e+00,0.00000000e+00,2.96953658e+02,0.00000000e+00,0.00000000e+00,1.80595374e+02,1.09571967e+02,0.00000000e+00,2.39658348e+02,1.28478002e+02,0.00000000e+00,2.19911686e+02,2.69771986e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.98105295e-03
94,1,0.00000000e+00,0.00000000e+00,2.96934002e+02,0.00000000e+00,0.00000000e+00,1.80986763e+02,1.10822913e+02,0.00000000e+00,2.41132159e+02,1.30379904e+02,0.00000000e+00,2.23504923e+02,2.75997227e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.93386852e-03
95,1,0.00000000e+00,0.00000000e+00,2.99901891e+02,0.00000000e+00,0.00000000e+00,1.83721933e+02,1.13079196e+02,0.00000000e+00,2.44901175e+02,1.33021702e+02,0.00000000e+00,2.28418774e+02,2.81949037e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.99937003e-03
96,1,0.00000000e+00,0.00000000e+00,3.03838773e+02,0.00000000e+00,0.00000000e+00,1.86610061e+02,1.14844457e+02,0.00000000e+00,2.49226919e+02,1.35762435e+02,0.00000000e+00,2.33367194e+02,2.85522334e+02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.79533339e-03
