frame,path,teacher_conf,accepted,accepted_final,passed_base_gate,passed_motion_gate,passed_persistence_gate,teacher_num_candidates,teacher_selected_rank,teacher_selected_score,teacher_selected_score_conf,teacher_selected_score_temporal,persistence_count,temporal_iou,persistence_iou,center_shift_frac,area_ratio,num_pseudo_boxes_used,buffer_size,update_event_triggered,update_applied,updates_this_frame,batch_size_used,det_loss,total_loss,coverage_buffer_size,coverage_entries_added,coverage_entries_sampled,coverage_loss,coverage_region_entries_skipped,coverage_region_mean_student_conf,coverage_region_mean_teacher_conf,coverage_region_mean_conf_gap,memory_contrastive_loss,memory_contrastive_valid_entries,memory_contrastive_mean_pos_sim,memory_contrastive_mean_neg_sim,memory_contrastive_margin,teacher_latency_ms,student_post_conf,student_post_latency_ms,update_latency_ms,frame_latency_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,0.641048,0,0,0,1,0,1,1,0.641048,0.641048,0.000000,0,,,,,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,18.257,0.641048,49.396,0.000,105.460
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,0.641048,0,0,0,1,0,1,1,1.641048,0.641048,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,18.794,0.641048,14.549,0.000,52.052
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,0.776923,0,0,0,1,0,1,1,1.605282,0.776923,0.828359,0,,,0.016354,1.054807,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,15.001,0.776923,14.379,0.000,44.055
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,0.680275,0,0,0,1,0,1,1,1.362378,0.680275,0.682103,0,,,0.030284,1.102039,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.915,0.680275,13.775,0.000,40.682
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,0.748070,0,0,0,1,0,1,1,1.410459,0.748070,0.662390,0,,,0.020877,1.175343,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.534,0.748070,13.151,0.000,43.025
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,0.748070,0,0,0,1,0,1,1,1.748070,0.748070,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.088,0.748070,13.034,0.000,37.841
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,0.774327,0,0,0,1,0,1,1,1.653825,0.774327,0.879498,0,,,0.010755,1.037224,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.471,0.774327,13.418,0.000,41.461
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,0.762984,0,0,0,0,0,1,1,0.762984,0.762984,0.000000,0,,,0.233661,2.190912,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,12.901,0.762984,12.614,0.000,37.266
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,0.787730,0,0,0,1,0,1,1,1.765290,0.787730,0.977559,0,,,0.002497,1.006085,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.077,0.787730,13.049,0.000,43.981
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,0.269051,0,0,0,0,0,1,1,0.269051,0.269051,0.000000,0,,,0.211951,5.469030,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,12.840,0.269051,12.732,0.000,35.600
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,0.735096,0,0,0,1,0,1,1,0.739963,0.735096,0.004866,0,,,0.032259,2.478429,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.107,0.735096,13.105,0.000,39.775
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,0.720707,0,0,0,1,0,1,1,1.463155,0.720707,0.742448,0,,,0.030030,1.013718,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.594,0.720707,13.362,0.000,39.240
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,0.629040,0,0,0,1,0,1,1,1.389926,0.629040,0.760885,0,,,0.022938,1.090497,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,14.232,0.629040,15.158,0.000,47.545
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,0.710388,0,0,0,1,0,1,1,1.520305,0.710388,0.809917,0,,,0.018965,1.064024,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.687,0.710388,13.514,0.000,38.045
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,0.710388,0,0,0,1,0,1,1,1.710388,0.710388,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.580,0.710388,14.099,0.000,40.604
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,0.608971,0,0,0,1,0,1,1,1.192851,0.608971,0.583880,0,,,0.046908,1.153310,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.478,0.608971,13.432,0.000,37.671
16,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00017.jpg,0.766669,0,0,0,1,0,1,1,0.788835,0.766669,0.022166,0,,,0.180199,1.871497,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,12.871,0.766669,12.840,0.000,44.519
17,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00018.jpg,0.758212,0,0,0,1,0,1,1,1.582178,0.758212,0.823966,0,,,0.020256,1.052528,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.072,0.758212,15.055,0.000,38.734
18,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00019.jpg,0.593200,0,0,0,1,0,2,2,1.150427,0.593200,0.557227,0,,,0.053537,1.167476,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.235,0.777303,13.245,0.000,50.968
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,0.593200,0,0,0,1,0,2,2,1.593200,0.593200,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.539,0.777303,13.211,0.000,48.625
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,0.850822,0,0,0,0,0,2,1,0.850822,0.850822,0.000000,0,,,0.232174,1.978745,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,12.934,0.850822,12.700,0.000,43.181
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.837120,0,0,0,1,0,2,1,1.814892,0.837120,0.977772,0,,,0.001931,1.006961,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,12.642,0.837120,12.620,0.000,36.951
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.837567,0,0,0,1,0,2,1,1.813120,0.837567,0.975553,0,,,0.002466,1.000904,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.094,0.837567,13.521,0.000,39.002
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.839836,0,0,0,1,0,1,1,1.833293,0.839836,0.993457,0,,,0.000653,1.000644,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.500,0.839836,13.692,0.000,39.802
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.855603,0,0,0,1,0,1,1,1.810507,0.855603,0.954905,0,,,0.004687,1.000654,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.639,0.855603,13.786,0.000,45.110
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.761126,0,0,0,0,0,1,1,0.761126,0.761126,0.000000,0,,,0.250604,2.383342,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.055,0.761126,12.845,0.000,37.661
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.796143,0,0,0,0,0,2,1,0.796143,0.796143,0.000000,0,,,0.241409,2.307664,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.242,0.796143,13.681,0.000,39.355
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.777080,0,0,0,1,0,2,1,1.713976,0.777080,0.936896,0,,,0.005084,1.021655,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,14.034,0.777080,13.587,0.000,38.255
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.807009,0,0,0,1,0,2,1,1.743478,0.807009,0.936468,0,,,0.006205,1.008997,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.626,0.807009,13.578,0.000,44.097
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.786611,0,0,0,1,0,2,1,1.703227,0.786611,0.916616,0,,,0.006552,1.032420,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.348,0.786611,13.161,0.000,37.606
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.574654,0,0,0,0,0,2,1,0.574654,0.574654,0.000000,0,,,0.220021,1.832352,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.393,0.574654,13.379,0.000,39.215
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.677804,0,0,0,0,0,2,1,0.677804,0.677804,0.000000,0,,,0.204716,9.919765,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.350,0.677804,13.681,0.000,39.201
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.697927,0,0,0,1,0,2,1,1.671833,0.697927,0.973906,0,,,0.001428,1.004984,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.314,0.697927,13.158,0.000,42.953
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.697927,0,0,0,1,0,2,1,1.697927,0.697927,1.000000,0,,,0.000000,1.000000,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.424,0.697927,13.143,0.000,37.003
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.453176,0,0,0,1,0,2,2,1.098044,0.453176,0.644868,0,,,0.025500,1.171926,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.359,0.690378,14.339,0.000,50.723
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.564345,0,0,0,1,0,2,2,0.834954,0.564345,0.270610,0,,,0.079027,1.487239,0,0,0,0,0,0,,,0,0,0,,0,,,,,0,,,,13.471,0.709036,13.518,0.000,48.035
