frame,model,checkpoint,n_frames,det_rate_at_conf,mean_top1_conf,median_top1_conf,weird_box_rate,high_conf_weird_rate,box_jump_rate,bad_frame_rate,good_frame_rate,bad_streak_count,max_bad_streak,mean_bad_streak_len,p90_bad_streak_len,p95_bad_streak_len,long_bad_streak_count,max_good_streak,mean_good_streak_len,num_good_streaks,p90_good_streak_len,p95_good_streak_len,mean_inference_latency_ms,p90_inference_latency_ms,composite_score,promotion_score
3000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9240000247955322,0.735617458820343,0.8463026285171509,0.6980000138282776,0.3499999940395355,0.10599999874830246,0.7400000095367432,0.25999999046325684,7.0,131.0,52.857142857142854,121.39999389648438,126.19999694824219,3.0,104.0,16.25,8.0,42.39997482299805,73.20001220703125,12.09564001083374,12.513468742370605,0.16250002180039883,0.16250002180039883
3000,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_003000.pt,500.0,0.5460000038146973,0.46001312136650085,0.34691208600997925,0.578000009059906,0.05400000140070915,0.12200000137090683,0.6919999718666077,0.30799999833106995,8.0,116.0,43.25,107.5999984741211,111.80000305175781,3.0,107.0,17.11111111111111,9.0,34.199981689453125,70.59999084472656,12.182135232925415,12.547197341918945,0.01349999755620955,0.01349999755620955
3500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.7720000147819519,0.6940044164657593,0.9185609817504883,0.06599999964237213,0.004000000189989805,0.09000000357627869,0.257999986410141,0.7419999837875366,20.0,29.0,6.45,17.100000381469727,18.549991607666016,0.0,132.0,17.666666666666668,21.0,52.0,55.0,13.430774209976196,14.669964790344238,0.7435000121835619,0.7435000121835619
3500,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_003500.pt,500.0,0.7860000133514404,0.7231758832931519,0.9732756614685059,0.00800000037997961,0.0,0.02199999988079071,0.2199999988079071,0.7799999713897705,15.0,26.0,7.333333333333333,20.999996185302734,23.900001525878906,0.0,144.0,24.375,16.0,79.0,123.75,12.906795763015747,13.935627937316895,0.8575000132508576,0.8575000132508576
4000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9340000152587891,0.75774085521698,0.864202618598938,0.5400000214576721,0.2199999988079071,0.18000000715255737,0.6000000238418579,0.4000000059604645,17.0,179.0,17.647058823529413,22.9999942779541,61.39997100830078,1.0,127.0,12.5,16.0,12.5,42.25,11.585317804336547,12.261017799377441,0.18799999976158144,0.18799999976158144
4000,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_004000.pt,500.0,0.800000011920929,0.5804927945137024,0.5488712787628174,0.4059999883174896,0.026000000536441803,0.15199999511241913,0.47600001096725464,0.5239999890327454,17.0,61.0,14.0,41.199989318847656,58.599998474121094,2.0,145.0,16.375,16.0,19.5,55.0,11.5562241897583,12.211945533752441,0.4930000211596489,0.4930000211596489
4500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.7940000295639038,0.6466702222824097,0.7353860139846802,0.34200000762939453,0.09000000357627869,0.1459999978542328,0.515999972820282,0.48399999737739563,28.0,93.0,9.214285714285714,21.599998474121094,31.449995040893555,1.0,77.0,8.642857142857142,28.0,14.599998474121094,27.04999351501465,12.439928516387939,12.893494606018066,0.3595000255703926,0.3595000255703926
4500,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_004500.pt,500.0,0.6299999952316284,0.5856050848960876,0.8515620231628418,0.17399999499320984,0.0,0.09399999678134918,0.3779999911785126,0.621999979019165,24.0,88.0,7.875,11.799995422363281,13.850000381469727,1.0,135.0,12.958333333333334,24.0,10.39999771118164,81.55003356933594,12.269623935699462,12.777484893798828,0.43150000014901163,0.43150000014901163
5000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9399999976158142,0.8070732951164246,0.9616641998291016,0.4000000059604645,0.17399999499320984,0.1080000028014183,0.4440000057220459,0.5559999942779541,12.0,152.0,18.5,29.799991607666016,85.9999771118164,1.0,168.0,23.166666666666668,12.0,45.199989318847656,101.9999771118164,11.939742771148682,12.487260818481445,0.4359999950379133,0.4359999950379133
5000,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_005000.pt,500.0,0.734000027179718,0.6974763870239258,0.9902912974357605,0.25999999046325684,0.04800000041723251,0.1379999965429306,0.3799999952316284,0.6200000047683716,14.0,117.0,13.571428571428571,15.699999809265137,51.34994125366211,1.0,182.0,20.666666666666668,15.0,37.799983978271484,88.9000244140625,11.933656572341919,12.539523124694824,0.42450003433227534,0.42450003433227534
5500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.7620000243186951,0.6143986582756042,0.725470781326294,0.34599998593330383,0.14800000190734863,0.164000004529953,0.5139999985694885,0.4860000014305115,33.0,122.0,7.787878787878788,10.599998474121094,17.999998092651367,1.0,55.0,7.363636363636363,33.0,14.599998474121094,16.0,12.343601419448852,12.934249877929688,0.20300002700090408,0.20300002700090408
5500,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_005500.pt,500.0,0.7680000066757202,0.6467711329460144,0.8481906652450562,0.23600000143051147,0.006000000052154064,0.1080000028014183,0.3880000114440918,0.6119999885559082,22.0,60.0,8.818181818181818,23.0,41.999977111816406,1.0,75.0,13.304347826086957,23.0,42.19999694824219,68.19998931884766,12.444983108520507,12.984636306762695,0.5210000038333237,0.5210000038333237
6000,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.9419999718666077,0.8428521752357483,0.9844615459442139,0.22599999606609344,0.03799999877810478,0.1120000034570694,0.27399998903274536,0.7260000109672546,12.0,42.0,11.416666666666666,36.29999542236328,39.79999923706055,0.0,136.0,30.25,12.0,120.29996490478516,132.14999389648438,11.685041734695435,12.357274055480957,0.7779999718517066,0.7779999718517066
6000,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_006000.pt,500.0,0.7860000133514404,0.7842237949371338,0.9952554702758789,0.1459999978542328,0.0,0.08399999886751175,0.23000000417232513,0.7699999809265137,9.0,65.0,12.777777777777779,28.19999122619629,46.59999465942383,1.0,149.0,42.77777777777778,9.0,133.0,141.0,11.83426798057556,12.540070533752441,0.6690000152736902,0.6690000152736902
6500,active,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,500.0,0.8539999723434448,0.6980631351470947,0.8338096141815186,0.5619999766349792,0.34599998593330383,0.12600000202655792,0.656000018119812,0.3440000116825104,19.0,145.0,17.263157894736842,32.7999153137207,97.30001831054688,2.0,79.0,9.052631578947368,19.0,14.19996452331543,43.00001525878906,12.249142070770263,12.996335983276367,0.09449998953938486,0.09449998953938486
6500,shadow,/home/hm25936/mae/odad/shadow_manager_streak_relaxed_diagnostic/checkpoints/shadow_frame_006500.pt,500.0,0.8159999847412109,0.6348991990089417,0.7177839875221252,0.4819999933242798,0.11599999666213989,0.11999999731779099,0.6039999723434448,0.3959999978542328,11.0,130.0,27.454545454545453,44.0,87.0,1.0,136.0,18.0,11.0,30.0,83.0,12.241192329406738,12.867555618286133,0.30299999175965786,0.30299999175965786
