frame,path,active_conf,active_latency_ms,shadow_teacher_conf,shadow_student_conf,shadow_teacher_latency_ms,shadow_student_latency_ms,shadow_update_latency_ms,shadow_update_applied,shadow_updates_this_frame,shadow_buffer_size,shadow_accepted,update_paused,throttle_weird_rate,throttle_box_jump_rate,active_weights,active_model_kind,promotion_policy,active_current_bad_streak
19,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00020.jpg,0.9692302346229553,14.96566390991211,0.9692302346229553,0.9692302346229553,14.939359664916992,14.908479690551758,0.0,0,0,0,0,0,nan,nan,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,20
20,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00021.jpg,0.9487650990486145,15.642239570617676,0.9487650990486145,0.9487650990486145,16.95964813232422,15.594528198242188,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,21
21,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00022.jpg,0.9539020657539368,15.317728042602539,0.9539020657539368,0.9539020657539368,16.14348793029785,18.91417694091797,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,22
22,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00023.jpg,0.9501126408576965,15.368767738342285,0.9501126408576965,0.9501126408576965,15.37116813659668,15.538016319274902,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,23
23,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00024.jpg,0.9586370587348938,15.454048156738281,0.9586370587348938,0.9586370587348938,15.503840446472168,15.202655792236328,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,24
24,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00025.jpg,0.9607416391372681,15.592639923095703,0.9607416391372681,0.9607416391372681,14.806559562683105,15.637663841247559,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,25
25,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00026.jpg,0.9728386998176575,14.579392433166504,0.7577381730079651,0.9728386998176575,15.521344184875488,15.50211238861084,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,26
26,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00027.jpg,0.9672507643699646,17.63747215270996,0.9672507643699646,0.9672507643699646,14.420607566833496,15.260607719421387,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,27
27,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00028.jpg,0.9772761464118958,17.936063766479492,0.9772761464118958,0.9772761464118958,16.613792419433594,15.030112266540527,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,28
28,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00029.jpg,0.9475669264793396,15.095392227172852,0.9475669264793396,0.9475669264793396,15.041952133178711,14.95468807220459,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,29
29,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00030.jpg,0.9600803256034851,15.19484806060791,0.9600803256034851,0.9600803256034851,15.697279930114746,15.003904342651367,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,30
30,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00031.jpg,0.9622626900672913,19.411039352416992,0.9622626900672913,0.9622626900672913,14.777888298034668,15.023391723632812,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,31
31,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00032.jpg,0.9386079907417297,14.672575950622559,0.9386079907417297,0.9386079907417297,15.24630355834961,15.3056001663208,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,32
32,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00033.jpg,0.9593114852905273,14.79190444946289,0.9593114852905273,0.9593114852905273,14.825216293334961,14.604991912841797,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,33
33,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00034.jpg,0.9593114852905273,14.847904205322266,0.9593114852905273,0.9593114852905273,14.995295524597168,14.846431732177734,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,34
34,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00035.jpg,0.9606865048408508,14.858304023742676,0.9606865048408508,0.9606865048408508,15.087552070617676,14.722368240356445,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,35
35,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00036.jpg,0.9544152021408081,14.69155216217041,0.9544152021408081,0.9544152021408081,14.818495750427246,14.649760246276855,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,36
36,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00037.jpg,0.8493521809577942,14.237855911254883,0.8493521809577942,0.8493521809577942,14.881343841552734,14.477727890014648,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,37
37,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00038.jpg,0.9336746335029602,17.749408721923828,0.9336746335029602,0.9336746335029602,15.05724811553955,17.851104736328125,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,38
38,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00039.jpg,0.9268624186515808,16.313695907592773,0.9268624186515808,0.9268624186515808,14.68841552734375,16.409887313842773,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,39
39,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00040.jpg,0.9688299298286438,15.232352256774902,0.9688299298286438,0.9688299298286438,14.20963191986084,15.487775802612305,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,40
40,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00041.jpg,0.9720404744148254,15.977375984191895,0.9720404744148254,0.9720404744148254,14.586655616760254,15.028063774108887,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,41
41,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00042.jpg,0.939731776714325,15.003680229187012,0.939731776714325,0.939731776714325,14.588704109191895,15.600799560546875,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,42
42,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00043.jpg,0.8040992021560669,14.68336009979248,0.6930561065673828,0.8040992021560669,17.426912307739258,14.690303802490234,0.0,0,0,0,0,1,1.0,0.0,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,43
43,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00044.jpg,0.8040992021560669,14.052063941955566,0.6930561065673828,0.8040992021560669,14.79747200012207,14.695296287536621,0.0,0,0,0,0,1,0.9767441749572754,0.023255813866853714,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
44,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00045.jpg,0.871219277381897,14.534815788269043,0.6454811692237854,0.871219277381897,14.499296188354492,14.907936096191406,0.0,0,0,0,0,1,0.9545454382896423,0.022727273404598236,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
45,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00046.jpg,0.5256528854370117,14.407872200012207,0.32234126329421997,0.5256528854370117,14.388992309570312,13.928704261779785,0.0,0,0,0,0,1,0.9333333373069763,0.02222222276031971,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,1
46,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00047.jpg,0.7413448691368103,14.497023582458496,0.7413448691368103,0.7413448691368103,14.590784072875977,13.937600135803223,0.0,0,0,0,0,1,0.9347826242446899,0.043478261679410934,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,2
47,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00048.jpg,0.921039342880249,14.840415954589844,0.9150039553642273,0.921039342880249,14.5,14.237088203430176,0.0,0,0,0,0,1,0.936170220375061,0.042553190141916275,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,3
48,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00049.jpg,0.9740371108055115,14.725728034973145,0.9040115475654602,0.9740371108055115,14.94876766204834,14.591296195983887,0.0,0,0,0,0,1,0.9166666865348816,0.0625,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
49,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00050.jpg,0.9706832766532898,14.907487869262695,0.8989348411560059,0.9706832766532898,14.567456245422363,14.81760025024414,0.0,0,0,0,0,1,0.8979591727256775,0.06122449040412903,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
50,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00051.jpg,0.9665782451629639,14.479071617126465,0.7865594029426575,0.9665782451629639,15.312288284301758,14.618623733520508,0.0,0,0,0,0,1,0.8799999952316284,0.05999999865889549,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
51,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00052.jpg,0.978520393371582,14.570719718933105,0.8247281908988953,0.978520393371582,14.444128036499023,14.638015747070312,0.0,0,0,0,0,1,0.8627451062202454,0.05882352963089943,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
52,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00053.jpg,0.978520393371582,14.687456130981445,0.8247281908988953,0.978520393371582,14.51420783996582,14.671296119689941,0.0,0,0,0,0,1,0.8461538553237915,0.057692307978868484,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
53,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00054.jpg,0.9796135425567627,14.202239990234375,0.7032677531242371,0.9796135425567627,14.771936416625977,14.441568374633789,0.0,0,0,0,0,1,0.8301886916160583,0.056603774428367615,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
54,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00055.jpg,0.9887189269065857,14.740096092224121,0.7517624497413635,0.9887189269065857,14.92255973815918,14.83903980255127,0.0,0,0,0,0,1,0.8148148059844971,0.0555555559694767,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
55,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00056.jpg,0.962722659111023,14.381183624267578,0.7608059048652649,0.962722659111023,14.558048248291016,14.792320251464844,0.0,0,0,0,0,1,0.800000011920929,0.05454545468091965,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
56,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00057.jpg,0.9798989295959473,13.73846435546875,0.8300352692604065,0.9798989295959473,14.577568054199219,14.586591720581055,0.0,0,0,0,0,1,0.7857142686843872,0.0535714291036129,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
57,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00058.jpg,0.9798989295959473,14.351807594299316,0.8300352692604065,0.9798989295959473,14.243647575378418,14.433343887329102,0.0,0,0,0,0,1,0.7719298005104065,0.05263157933950424,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
58,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00059.jpg,0.974173367023468,14.148192405700684,0.7969123125076294,0.974173367023468,14.556608200073242,14.041376113891602,0.0,0,0,0,0,1,0.7586206793785095,0.0517241396009922,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
59,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00060.jpg,0.9800453782081604,14.631072044372559,0.793636679649353,0.9800453782081604,14.337408065795898,13.895744323730469,0.0,0,0,0,0,1,0.7457627058029175,0.050847455859184265,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
60,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00061.jpg,0.9770848751068115,14.73692798614502,0.841771125793457,0.9770848751068115,13.99180793762207,14.582783699035645,0.0,0,0,0,0,1,0.7333333492279053,0.05000000074505806,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
61,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00062.jpg,0.9770848751068115,14.19654369354248,0.841771125793457,0.9770848751068115,14.523072242736816,14.646112442016602,0.0,0,0,0,0,1,0.7213114500045776,0.04918032884597778,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
62,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00063.jpg,0.977957010269165,14.558560371398926,0.7797938585281372,0.977957010269165,13.962623596191406,14.415103912353516,0.0,0,0,0,0,1,0.7096773982048035,0.04838709533214569,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
63,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00064.jpg,0.969373881816864,14.583840370178223,0.7855866551399231,0.969373881816864,15.744192123413086,14.43558406829834,0.0,0,0,0,0,1,0.6984127163887024,0.0476190485060215,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
64,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00065.jpg,0.9440449476242065,14.33296012878418,0.8013994097709656,0.9440449476242065,15.113247871398926,14.484479904174805,0.0,0,0,0,0,1,0.6875,0.046875,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
65,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00066.jpg,0.9897200465202332,14.391839981079102,0.7937415242195129,0.9897200465202332,14.922143936157227,14.525247573852539,0.0,0,0,0,0,1,0.6769230961799622,0.04615384712815285,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
66,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00067.jpg,0.987663209438324,14.517663955688477,0.7310371994972229,0.987663209438324,14.650015830993652,15.224896430969238,0.0,0,0,0,0,1,0.6666666865348816,0.04545454680919647,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
67,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00068.jpg,0.9938668608665466,14.530879974365234,0.7473956346511841,0.9938668608665466,15.00556755065918,15.147583961486816,0.0,0,0,0,0,1,0.6567164063453674,0.04477611929178238,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
68,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00069.jpg,0.9666255116462708,15.004960060119629,0.6499245762825012,0.9666255116462708,14.526752471923828,14.721823692321777,0.0,0,0,0,0,1,0.6470588445663452,0.04411764815449715,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
69,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00070.jpg,0.9711724519729614,14.643168449401855,0.7062599658966064,0.9711724519729614,14.695103645324707,14.32419204711914,0.0,0,0,0,0,1,0.6376811861991882,0.043478261679410934,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
70,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00071.jpg,0.9711724519729614,14.845600128173828,0.7062599658966064,0.9711724519729614,14.494976043701172,14.40777587890625,0.0,0,0,0,0,1,0.6285714507102966,0.04285714402794838,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
71,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00072.jpg,0.9787611961364746,14.942943572998047,0.7617591619491577,0.9787611961364746,14.63759994506836,14.279487609863281,0.0,0,0,0,0,1,0.6197183132171631,0.0422535203397274,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
72,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00073.jpg,0.9887433052062988,15.080863952636719,0.7447417974472046,0.9887433052062988,14.697504043579102,13.91209602355957,0.0,0,0,0,0,1,0.6111111044883728,0.0416666679084301,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
73,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00074.jpg,0.9912720322608948,14.856672286987305,0.6571627259254456,0.9912720322608948,14.103167533874512,14.77455997467041,0.0,0,0,0,0,1,0.6027397513389587,0.04109589010477066,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
74,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00075.jpg,0.9896098375320435,15.307007789611816,0.6591482758522034,0.9896098375320435,14.796416282653809,14.712608337402344,0.0,0,0,0,0,1,0.5945945978164673,0.04054053872823715,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
75,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00076.jpg,0.9922829270362854,15.37558364868164,0.5026142001152039,0.9922829270362854,14.68342399597168,14.697855949401855,0.0,0,0,0,0,1,0.5866666436195374,0.03999999910593033,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
76,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00077.jpg,0.9927298426628113,14.606271743774414,0.647281289100647,0.9927298426628113,15.584959983825684,15.468671798706055,0.0,0,0,0,0,1,0.5789473652839661,0.03947368264198303,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
77,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00078.jpg,0.9927298426628113,15.208415985107422,0.647281289100647,0.9927298426628113,14.819552421569824,15.025568008422852,0.0,0,0,0,0,1,0.5714285969734192,0.03896103799343109,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
78,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00079.jpg,0.9889461398124695,14.639904022216797,0.9889461398124695,0.9889461398124695,15.154687881469727,14.713312149047852,0.0,0,0,0,0,1,0.5641025900840759,0.03846153989434242,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
79,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00080.jpg,0.9872586131095886,14.356767654418945,0.9872586131095886,0.9872586131095886,14.564607620239258,14.33289623260498,0.0,0,0,0,0,1,0.5569620132446289,0.037974681705236435,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
80,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00081.jpg,0.9872075915336609,15.095647811889648,0.9872075915336609,0.9872075915336609,14.330592155456543,14.391743659973145,0.0,0,0,1,1,1,0.550000011920929,0.03750000149011612,/home/hm25936/mae/odad/online_adapt_topk2_full/student_final.pt,current_odad,diagnostic,0
