dataset,model,confidence_threshold,n_images,det_rate,weird_rate,high_conf_weird_rate,box_jump_rate,bad_rate,max_bad_streak,p95_bad_streak,bad_streaks_over_50,max_good_streak,mean_top1_conf,median_top1_conf,low_conf_rate,no_detection_rate
lab,fda_mix,0.05,6735,0.9965850114822388,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.22702302038669586,39,10.0,0,235,0.7709528803825378,0.8177610039710999,0.003414996201172471,0.0004454342997632921
lab,current_odad,0.05,6735,0.9585745930671692,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.41930216550827026,197,68.09999084472656,14,419,0.7336825132369995,0.8942963480949402,0.04142538830637932,0.0
lab,adapter_base,0.05,6735,0.9202672839164734,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.13392724096775055,43,15.79998779296875,0,479,0.7175459265708923,0.8741050362586975,0.0797327384352684,0.0041573867201805115
lab,membank_prev,0.05,6735,0.9302152991294861,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.12308834493160248,46,20.149993896484375,0,478,0.7161480188369751,0.8616273999214172,0.06978470832109451,0.0035634743981063366
lab,source_anchor,0.05,6735,0.9198217988014221,0.06443949788808823,0.00400890875607729,0.027918027713894844,0.13333334028720856,46,20.699996948242188,0,475,0.7068402767181396,0.8553205132484436,0.0801781713962555,0.006087602116167545
lab,fda_mix,0.1,6735,0.9940608739852905,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.22865627706050873,41,10.0,0,235,0.7709528803825378,0.8177610039710999,0.005939124152064323,0.0004454342997632921
lab,current_odad,0.1,6735,0.937787652015686,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.43043801188468933,197,69.79998779296875,14,418,0.7336825132369995,0.8942963480949402,0.062212321907281876,0.0
lab,adapter_base,0.1,6735,0.8936896920204163,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.1545657068490982,65,16.75,1,474,0.7175459265708923,0.8741050362586975,0.10631032288074493,0.0041573867201805115
lab,membank_prev,0.1,6735,0.902746856212616,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.14476615190505981,49,19.29998779296875,0,475,0.7161480188369751,0.8616273999214172,0.09725315868854523,0.0035634743981063366
lab,source_anchor,0.1,6735,0.89175945520401,0.06443949788808823,0.00400890875607729,0.027918027713894844,0.15649591386318207,49,20.099990844726562,0,469,0.7068402767181396,0.8553205132484436,0.1082405373454094,0.006087602116167545
lab,fda_mix,0.15,6735,0.9903489351272583,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.2305864840745926,41,10.0,0,235,0.7709528803825378,0.8177610039710999,0.009651076048612595,0.0004454342997632921
lab,current_odad,0.15,6735,0.9167037606239319,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.43979212641716003,197,69.79998779296875,14,418,0.7336825132369995,0.8942963480949402,0.08329621702432632,0.0
lab,adapter_base,0.15,6735,0.8734966516494751,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.17015589773654938,67,22.0,1,466,0.7175459265708923,0.8741050362586975,0.1265033334493637,0.0041573867201805115
lab,membank_prev,0.15,6735,0.8841871023178101,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.1596139520406723,51,20.25,1,469,0.7161480188369751,0.8616273999214172,0.11581292003393173,0.0035634743981063366
lab,source_anchor,0.15,6735,0.8752784132957458,0.06443949788808823,0.00400890875607729,0.027918027713894844,0.17030437290668488,65,20.899993896484375,1,468,0.7068402767181396,0.8553205132484436,0.12472160160541534,0.006087602116167545
lab,fda_mix,0.2,6735,0.9870824217796326,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.23236823081970215,41,10.0,0,235,0.7709528803825378,0.8177610039710999,0.012917594984173775,0.0004454342997632921
lab,current_odad,0.2,6735,0.8927988409996033,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.4501855969429016,197,69.60000610351562,14,412,0.7336825132369995,0.8942963480949402,0.10720118880271912,0.0
lab,adapter_base,0.2,6735,0.8573125600814819,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.1829250156879425,67,22.5,1,465,0.7175459265708923,0.8741050362586975,0.14268745481967926,0.0041573867201805115
lab,membank_prev,0.2,6735,0.8693392872810364,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.17164067924022675,67,20.949996948242188,2,469,0.7161480188369751,0.8616273999214172,0.13066072762012482,0.0035634743981063366
lab,source_anchor,0.2,6735,0.8611729741096497,0.06443949788808823,0.00400890875607729,0.027918027713894844,0.18173719942569733,67,23.0,3,465,0.7068402767181396,0.8553205132484436,0.13882702589035034,0.006087602116167545
lab,fda_mix,0.25,6735,0.9824795722961426,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.2345954030752182,41,10.0,0,235,0.7709528803825378,0.8177610039710999,0.017520416527986526,0.0004454342997632921
lab,current_odad,0.25,6735,0.8703786134719849,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.4587973356246948,198,70.7999267578125,14,238,0.7336825132369995,0.8942963480949402,0.12962138652801514,0.0
lab,adapter_base,0.25,6735,0.844840407371521,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.19465479254722595,71,31.300003051757812,2,465,0.7175459265708923,0.8741050362586975,0.1551596075296402,0.0041573867201805115
lab,membank_prev,0.25,6735,0.8561246991157532,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.18173719942569733,67,20.949996948242188,2,465,0.7161480188369751,0.8616273999214172,0.14387527108192444,0.0035634743981063366
lab,source_anchor,0.25,6735,0.846028208732605,0.06443949788808823,0.00400890875607729,0.027918027713894844,0.19331848621368408,67,23.0,3,464,0.7068402767181396,0.8553205132484436,0.15397179126739502,0.006087602116167545
lab,fda_mix,0.3,6735,0.9760950207710266,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.23756496608257294,41,10.0,0,235,0.7709528803825378,0.8177610039710999,0.02390497364103794,0.0004454342997632921
lab,current_odad,0.3,6735,0.844840407371521,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.468893826007843,198,96.7999267578125,14,235,0.7336825132369995,0.8942963480949402,0.1551596075296402,0.0
lab,adapter_base,0.3,6735,0.833259105682373,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.20371195673942566,71,33.84999084472656,3,465,0.7175459265708923,0.8741050362586975,0.16674090921878815,0.0041573867201805115
lab,membank_prev,0.3,6735,0.841128408908844,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.19435782730579376,67,22.399993896484375,3,464,0.7161480188369751,0.8616273999214172,0.15887156128883362,0.0035634743981063366
lab,source_anchor,0.3,6735,0.834149956703186,0.06443949788808823,0.00400890875607729,0.027918027713894844,0.20282109081745148,67,24.0,4,464,0.7068402767181396,0.8553205132484436,0.16585004329681396,0.006087602116167545
lab,fda_mix,0.4,6735,0.9573867917060852,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.248403862118721,41,10.0,0,229,0.7709528803825378,0.8177610039710999,0.04261321574449539,0.0004454342997632921
lab,current_odad,0.4,6735,0.8007423877716064,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.4835931658744812,205,110.0,15,235,0.7336825132369995,0.8942963480949402,0.19925761222839355,0.0
lab,adapter_base,0.4,6735,0.8086117506027222,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.2253897488117218,90,35.54997253417969,5,459,0.7175459265708923,0.8741050362586975,0.19138826429843903,0.0041573867201805115
lab,membank_prev,0.4,6735,0.8155902028083801,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.21469932794570923,77,32.25,5,462,0.7161480188369751,0.8616273999214172,0.18440979719161987,0.0035634743981063366
lab,source_anchor,0.4,6735,0.8080177903175354,0.06443949788808823,0.00400890875607729,0.027918027713894844,0.22375649213790894,77,28.20001220703125,4,459,0.7068402767181396,0.8553205132484436,0.1919821798801422,0.006087602116167545
lab,fda_mix,0.5,6735,0.9232368469238281,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.26562732458114624,41,10.0,0,226,0.7709528803825378,0.8177610039710999,0.07676317542791367,0.0004454342997632921
lab,current_odad,0.5,6735,0.7570898532867432,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.4987379312515259,210,110.75,15,235,0.7336825132369995,0.8942963480949402,0.24291017651557922,0.0
lab,adapter_base,0.5,6735,0.782034158706665,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.24706755578517914,90,38.79997253417969,5,456,0.7175459265708923,0.8741050362586975,0.21796585619449615,0.0041573867201805115
lab,membank_prev,0.5,6735,0.7799554467201233,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.23741647601127625,77,34.34999084472656,5,459,0.7161480188369751,0.8616273999214172,0.22004453837871552,0.0035634743981063366
lab,source_anchor,0.5,6735,0.7756496071815491,0.06443949788808823,0.00400890875607729,0.027918027713894844,0.2440979927778244,77,34.5,4,457,0.7068402767181396,0.8553205132484436,0.22435040771961212,0.006087602116167545
lab,fda_mix,0.6,6735,0.8702301383018494,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.29755011200904846,45,11.0,0,224,0.7709528803825378,0.8177610039710999,0.12976986169815063,0.0004454342997632921
lab,current_odad,0.6,6735,0.7158129215240479,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.5123979449272156,235,112.40000915527344,15,234,0.7336825132369995,0.8942963480949402,0.28418707847595215,0.0
lab,adapter_base,0.6,6735,0.7508537769317627,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.26978471875190735,104,42.899993896484375,5,443,0.7175459265708923,0.8741050362586975,0.2491462528705597,0.0041573867201805115
lab,membank_prev,0.6,6735,0.7510022521018982,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.26102450489997864,90,40.800018310546875,5,457,0.7161480188369751,0.8616273999214172,0.2489977777004242,0.0035634743981063366
lab,source_anchor,0.6,6735,0.7419450879096985,0.06443949788808823,0.00400890875607729,0.027918027713894844,0.27008166909217834,90,43.0,5,446,0.7068402767181396,0.8553205132484436,0.2580549418926239,0.006087602116167545
lab,fda_mix,0.7,6735,0.7622865438461304,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.3749071955680847,49,12.0,0,97,0.7709528803825378,0.8177610039710999,0.23771344125270844,0.0004454342997632921
lab,current_odad,0.7,6735,0.6632516980171204,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.5281366109848022,235,121.25,19,234,0.7336825132369995,0.8942963480949402,0.336748331785202,0.0
lab,adapter_base,0.7,6735,0.6996288299560547,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.30749815702438354,108,49.29997253417969,9,441,0.7175459265708923,0.8741050362586975,0.3003711998462677,0.0041573867201805115
lab,membank_prev,0.7,6735,0.7049739956855774,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.30363771319389343,108,50.05000305175781,9,434,0.7161480188369751,0.8616273999214172,0.2950259745121002,0.0035634743981063366
lab,source_anchor,0.7,6735,0.6996288299560547,0.06443949788808823,0.00400890875607729,0.027918027713894844,0.3091314136981964,108,51.79997253417969,9,269,0.7068402767181396,0.8553205132484436,0.3003711998462677,0.006087602116167545
lab,fda_mix,0.8,6735,0.5526354908943176,0.21514476835727692,0.10927987843751907,0.019305018708109856,0.5299183130264282,70,20.04998779296875,3,97,0.7709528803825378,0.8177610039710999,0.4473645091056824,0.0004454342997632921
lab,current_odad,0.8,6735,0.5942093729972839,0.36332592368125916,0.1544172167778015,0.09058509021997452,0.5481811165809631,235,130.5,22,214,0.7336825132369995,0.8942963480949402,0.40579065680503845,0.0
lab,adapter_base,0.8,6735,0.6265775561332703,0.06310319155454636,0.003266518237069249,0.031185030937194824,0.3762435019016266,120,87.5,17,240,0.7175459265708923,0.8741050362586975,0.37342241406440735,0.0041573867201805115
lab,membank_prev,0.8,6735,0.6249443292617798,0.06191536784172058,0.004454343114048243,0.03014552965760231,0.37817370891571045,124,61.19993591308594,18,262,0.7161480188369751,0.8616273999214172,0.3750556707382202,0.0035634743981063366
lab,source_anchor,0.8,6735,0.6191536784172058,0.06443949788808823,0.00400890875607729,0.027918027713894844,0.3839643597602844,119,66.69999694824219,18,262,0.7068402767181396,0.8553205132484436,0.3808463215827942,0.006087602116167545
