frame,path,width,height,teacher_det,teacher_conf,teacher_x1,teacher_y1,teacher_x2,teacher_y2,teacher_iou_prev,student_pre_det,student_pre_conf,student_pre_x1,student_pre_y1,student_pre_x2,student_pre_y2,student_pre_iou_prev,student_post_det,student_post_conf,student_post_x1,student_post_y1,student_post_x2,student_post_y2,student_post_iou_prev,student_delta_conf,student_pre_post_iou,student_pre_post_center_shift,pseudo_accepted,update_applied,loss_total,loss_box,loss_cls,loss_dfl,latency_teacher_ms,latency_student_pre_ms,latency_student_post_ms
0,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00001.jpg,1936,1216,1,0.641048,752.749,0.000,1914.445,728.373,,1,0.641048,752.749,0.000,1914.445,728.373,,1,0.641048,752.749,0.000,1914.445,728.373,,0.000000,1.000000,0.000000,0,0,,,,,14.611,44.617,15.604
1,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00002.jpg,1936,1216,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,1,0.641048,752.749,0.000,1914.445,728.373,1.000000,0.000000,1.000000,0.000000,0,0,,,,,13.812,13.045,13.036
2,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00003.jpg,1936,1216,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,1,0.776923,749.080,1.238,1918.230,687.362,0.936337,0.000000,1.000000,0.000000,0,0,,,,,12.992,12.684,12.918
3,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00004.jpg,1936,1216,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,1,0.680275,721.015,0.000,1857.528,640.475,0.862490,0.000000,1.000000,0.000000,0,0,,,,,13.241,12.998,13.678
4,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00005.jpg,1936,1216,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,1,0.748070,575.243,1.812,1922.516,636.829,0.837492,0.000000,1.000000,0.000000,0,0,,,,,11.861,12.727,11.818
5,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00006.jpg,1936,1216,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,1,0.748070,575.243,1.812,1922.516,636.829,1.000000,0.000000,1.000000,0.000000,0,0,,,,,12.266,12.080,11.954
6,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00007.jpg,1936,1216,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,1,0.774327,564.674,4.452,1920.253,659.071,0.953133,0.000000,1.000000,0.000000,0,0,,,,,12.265,11.946,12.612
7,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00008.jpg,1936,1216,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,1,0.762984,337.162,0.000,1936.000,1216.000,0.456431,0.000000,1.000000,0.000000,0,0,,,,,13.148,12.960,12.772
8,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00009.jpg,1936,1216,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,1,0.787730,346.831,0.000,1936.000,1216.000,0.993952,0.000000,1.000000,0.000000,0,0,,,,,11.670,11.622,11.765
9,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00010.jpg,1936,1216,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,1,0.269051,901.341,90.906,1565.675,622.778,0.182848,0.000000,1.000000,0.000000,0,0,,,,,12.381,12.001,11.687
10,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00011.jpg,1936,1216,1,0.735096,524.697,0.000,1883.592,644.442,0.403481,1,0.735096,524.697,0.000,1883.592,644.442,0.403481,1,0.735096,524.697,0.000,1883.592,644.442,0.403481,0.000000,1.000000,0.000000,0,0,,,,,11.878,11.583,11.830
11,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00012.jpg,1936,1216,1,0.720707,618.756,0.000,1892.726,678.100,0.881686,1,0.720707,618.756,0.000,1892.726,678.100,0.881686,1,0.720707,618.756,0.000,1892.726,678.100,0.881686,0.000000,1.000000,0.000000,0,0,,,,,13.066,12.465,12.560
12,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00013.jpg,1936,1216,1,0.629040,620.478,0.000,1905.431,733.145,0.914640,1,0.629040,620.478,0.000,1905.431,733.145,0.914640,1,0.629040,620.478,0.000,1905.431,733.145,0.914640,0.000000,1.000000,0.000000,0,0,,,,,12.649,12.212,12.250
13,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00014.jpg,1936,1216,1,0.710388,620.291,0.000,1908.912,687.070,0.934654,1,0.710388,620.291,0.000,1908.912,687.070,0.934654,1,0.710388,620.291,0.000,1908.912,687.070,0.934654,0.000000,1.000000,0.000000,0,0,,,,,13.161,12.745,12.864
14,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00015.jpg,1936,1216,1,0.710388,620.291,0.000,1908.912,687.070,1.000000,1,0.710388,620.291,0.000,1908.912,687.070,1.000000,1,0.710388,620.291,0.000,1908.912,687.070,1.000000,0.000000,1.000000,0.000000,0,0,,,,,12.578,12.409,14.279
15,/home/hm25936/datasets_for_yolo/lab_images_6000/images/test/img_00016.jpg,1936,1216,1,0.608971,625.319,0.000,1899.918,801.122,0.849618,1,0.608971,625.319,0.000,1899.918,801.122,0.849618,1,0.608971,625.319,0.000,1899.918,801.122,0.849618,0.000000,1.000000,0.000000,0,0,,,,,13.137,14.049,13.104
