dataset,dataset_label,model,model_label,n_images,n_detected,det_rate_at_conf,no_detection_rate,low_conf_rate,high_conf_rate,mean_box_area_frac,median_box_area_frac,tiny_box_rate,large_box_rate,border_touch_rate,weird_box_rate,high_conf_weird_box_rate,good_streak_count,max_good_streak,mean_good_streak_len,good_rate,good_basis
lab,Lab,fda_mix,FDA-mix,6735,6732,0.9824795722961426,0.0004454342997632921,0.017520416527986526,0.673793613910675,0.14221110939979553,0.07841747999191284,0.0,0.10467705875635147,0.21469932794570923,0.21514476835727692,0.10927987843751907,502,235,10.268924713134766,0.7654045820236206,proxy_conf_not_weird_not_box_jump
lab,Lab,adapter_candidate,Adapter Candidate,6735,6707,0.844840407371521,0.0041573867201805115,0.1551596075296402,0.6718633770942688,0.04498332738876343,0.04572678357362747,0.0,0.0002969561901409179,0.06310319155454636,0.06310319155454636,0.003266518237069249,216,465,25.11111068725586,0.8053452372550964,proxy_conf_not_weird_not_box_jump
lab,Lab,current_odad,Current Odad,6735,6735,0.8703786134719849,0.0,0.12962138652801514,0.6317743062973022,0.12016788125038147,0.0627661719918251,0.0,0.12308834493160248,0.3612472116947174,0.36332592368125916,0.1544172167778015,239,238,15.251046180725098,0.5412026643753052,proxy_conf_not_weird_not_box_jump
